id,context,question,answer,answer_start,difficulty
1094,The Riverside Museum was completed in 2000 and is located in Denver. It attracts roughly 8700 visitors every year.,When was the Riverside Museum completed?,2000,38,Advanced
1095,Sara Kowalski joined Coastal Insurance Co. as a marketing director in 1994 and later moved to the Amsterdam office in 1996.,What role did Sara Kowalski join Coastal Insurance Co. as?,marketing director,48,Beginner
1096,Chen Kowalski joined Coastal Insurance Co. as a project manager in 2010 and later moved to the Seoul office in 2013.,In what year did Chen Kowalski join Coastal Insurance Co.?,2010,67,Advanced
1097,Summit Robotics Inc. was founded in Melbourne in 1999 by Julia Clark. The company now employs more than 3400 people across the Philippines.,In which city was Summit Robotics Inc. founded?,Melbourne,36,Intermediate
1098,Lakeside Medical Center was founded in Berlin in 2002 by Liam Chen. The company now employs more than 500000 people across Finland.,In what year was Lakeside Medical Center founded?,2002,49,Advanced
1099,"The global health conference took place in Edinburgh on May 19, 2025, drawing an audience of about 500000 people from around the Philippines.",When did the global health conference take place?,"May 19, 2025",56,Beginner
1100,The Riverside Museum was completed in 2018 and is located in Nairobi. It attracts roughly 500000 visitors every year.,When was the Riverside Museum completed?,2018,38,Intermediate
1101,Meridian Financial Group was founded in Buenos Aires in 1999 by Ravi Haddad. The company now employs more than 22000 people across Egypt.,Who founded Meridian Financial Group?,Ravi Haddad,64,Intermediate
1102,Riverside Bank was founded in Seoul in 2016 by Ingrid Kim. The company now employs more than 250000 people across South Africa.,In what year was Riverside Bank founded?,2016,39,Intermediate
1103,Ironwood Steel Works was founded in Seoul in 2003 by Ingrid Kim. The company now employs more than 8700 people across New Zealand.,In what year was Ironwood Steel Works founded?,2003,45,Advanced
1104,The Central Library was completed in 2000 and is located in Manila. It attracts roughly 1200 visitors every year.,Where is the Central Library located?,Manila,60,Advanced
1105,"The robotics championship took place in Mumbai on February 6, 2025, drawing an audience of about 500000 people from around Kenya.",Where did the robotics championship take place?,Mumbai,40,Beginner
1106,Silverline Motors was founded in Cape Town in 1991 by Maria Suzuki. The company now employs more than 8700 people across the Philippines.,In what year was Silverline Motors founded?,1991,46,Beginner
1107,David Hall published a research paper on deep-sea biology in 2009 while working at Summit Robotics Inc. in Seoul.,What topic did David Hall research?,deep-sea biology,41,Beginner
1108,"The science and innovation fair took place in Cape Town on August 3, 2016, drawing an audience of about 8700 people from around Poland.",When did the science and innovation fair take place?,"August 3, 2016",59,Intermediate
1109,Zainab Silva joined Lakeside Medical Center as a marketing director in 2018 and later moved to the Seoul office in 2023.,In what year did Zainab Silva join Lakeside Medical Center?,2018,71,Advanced
1110,Global Trade Partners was founded in Mumbai in 2019 by Noah Haddad. The company now employs more than 500000 people across Denmark.,In which city was Global Trade Partners founded?,Mumbai,37,Intermediate
1111,"The international film festival took place in Denver on May 2, 2025, drawing an audience of about 22000 people from around Poland.",Where did the international film festival take place?,Denver,46,Beginner
1112,Lakeside Medical Center was founded in Santiago in 2022 by Noah Haddad. The company now employs more than 22000 people across the Czech Republic.,In which city was Lakeside Medical Center founded?,Santiago,39,Beginner
1113,Olivia Suzuki published a research paper on machine translation in 1993 while working at Summit Robotics Inc. in Vancouver.,What topic did Olivia Suzuki research?,machine translation,44,Beginner
1114,The Riverside Museum was completed in 2001 and is located in Buenos Aires. It attracts roughly 45000 visitors every year.,When was the Riverside Museum completed?,2001,38,Beginner
1115,"The international film festival took place in Edinburgh on June 24, 2021, drawing an audience of about 45000 people from around the United States.",When did the international film festival take place?,"June 24, 2021",59,Beginner
1116,The Riverside Museum was completed in 1995 and is located in Prague. It attracts roughly 500000 visitors every year.,When was the Riverside Museum completed?,1995,38,Beginner
1117,The Riverside Museum was completed in 2000 and is located in Vancouver. It attracts roughly 3400 visitors every year.,When was the Riverside Museum completed?,2000,38,Intermediate
1118,Charlotte Kim joined Ironwood Steel Works as a research scientist in 1991 and later moved to the Mumbai office in 1996.,In what year did Charlotte Kim join Ironwood Steel Works?,1991,69,Intermediate
1119,Ibrahim Chen joined BrightFuture Foundation as a marketing director in 1997 and later moved to the Denver office in 1998.,In what year did Ibrahim Chen join BrightFuture Foundation?,1997,71,Advanced
1120,Yuki Wilson joined Summit Robotics Inc. as a project manager in 2014 and later moved to the Manila office in 2016.,In what year did Yuki Wilson join Summit Robotics Inc.?,2014,64,Beginner
1121,Ingrid Khan joined Evergreen Energy Co. as a research scientist in 2019 and later moved to the Toronto office in 2021.,Which office did Ingrid Khan later move to?,Toronto,95,Beginner
1122,Mei Suzuki joined Zenith Pharmaceuticals as a marketing director in 2008 and later moved to the Bangkok office in 2009.,What role did Mei Suzuki join Zenith Pharmaceuticals as?,marketing director,46,Advanced
1123,Layla Novak joined Union Manufacturing Corp. as a project manager in 2003 and later moved to the Cape Town office in 2004.,In what year did Layla Novak join Union Manufacturing Corp.?,2003,69,Beginner
1124,Carlos Petrov published a research paper on urban air quality in 2015 while working at Summit Robotics Inc. in Toronto.,Where was Carlos Petrov working when the paper was published?,Summit Robotics Inc.,87,Intermediate
1125,The Grand Observatory was completed in 2022 and is located in Mumbai. It attracts roughly 45000 visitors every year.,When was the Grand Observatory completed?,2022,39,Intermediate
1126,George Smith published a research paper on deep-sea biology in 2002 while working at NextGen Software Labs in Kuala Lumpur.,What topic did George Smith research?,deep-sea biology,43,Beginner
1127,"The annual jazz festival took place in Kuala Lumpur on June 16, 2015, drawing an audience of about 96000 people from around Sweden.",Where did the annual jazz festival take place?,Kuala Lumpur,39,Beginner
1128,Ibrahim Wright joined Golden Gate Retailers as a operations coordinator in 2017 and later moved to the Marrakesh office in 2019.,In what year did Ibrahim Wright join Golden Gate Retailers?,2017,75,Advanced
1129,"The international film festival took place in Buenos Aires on November 8, 2021, drawing an audience of about 8700 people from around Portugal.",Where did the international film festival take place?,Buenos Aires,46,Beginner
1130,Meridian Financial Group was founded in Buenos Aires in 2015 by Mark Brown. The company now employs more than 250000 people across Finland.,In what year was Meridian Financial Group founded?,2015,56,Intermediate
1131,Nina Dubois published a research paper on renewable energy storage in 2023 while working at Ironwood Steel Works in Stockholm.,In what year did Nina Dubois publish the paper?,2023,70,Beginner
1132,"The annual jazz festival took place in Bangkok on March 25, 2024, drawing an audience of about 500000 people from around Japan.",When did the annual jazz festival take place?,"March 25, 2024",50,Beginner
1133,Victor Walker joined Evergreen Energy Co. as a senior analyst in 2007 and later moved to the Vancouver office in 2010.,Which office did Victor Walker later move to?,Vancouver,93,Intermediate
1134,Sara Scott joined Harborview College as a research scientist in 2000 and later moved to the Marrakesh office in 2002.,Which office did Sara Scott later move to?,Marrakesh,92,Intermediate
1135,Layla Dubois published a research paper on machine translation in 2017 while working at Global Trade Partners in Mumbai.,Where was Layla Dubois working when the paper was published?,Global Trade Partners,88,Intermediate
1136,Delta Cloud Services was founded in Dublin in 2013 by Elena Hall. The company now employs more than 250000 people across Finland.,In what year was Delta Cloud Services founded?,2013,46,Advanced
1137,Coastal Insurance Co. was founded in Berlin in 2000 by George Taylor. The company now employs more than 22000 people across India.,Who founded Coastal Insurance Co.?,George Taylor,55,Advanced
1138,The Grand Observatory was completed in 1997 and is located in Toronto. It attracts roughly 15000 visitors every year.,Where is the Grand Observatory located?,Toronto,62,Intermediate
1139,"The robotics championship took place in Berlin on February 3, 2019, drawing an audience of about 250000 people from around the Philippines.",Where did the robotics championship take place?,Berlin,40,Intermediate
1140,Priya Larsen joined Union Manufacturing Corp. as a marketing director in 2009 and later moved to the Warsaw office in 2014.,Which office did Priya Larsen later move to?,Warsaw,101,Beginner
1141,Nadia Young published a research paper on genetic markers in 2014 while working at Redstone Consulting in Berlin.,Where was Nadia Young working when the paper was published?,Redstone Consulting,83,Advanced
1142,Riverside Bank was founded in Santiago in 2011 by James Garcia. The company now employs more than 45000 people across Portugal.,Who founded Riverside Bank?,James Garcia,50,Intermediate
1143,"The technology summit took place in Manila on September 6, 2015, drawing an audience of about 8700 people from around the Philippines.",Where did the technology summit take place?,Manila,36,Intermediate
1144,Noah Haddad joined Ironwood Steel Works as a project manager in 2008 and later moved to the Denver office in 2012.,Which office did Noah Haddad later move to?,Denver,92,Advanced
1145,"The science and innovation fair took place in Toronto on July 4, 2016, drawing an audience of about 8700 people from around Japan.",When did the science and innovation fair take place?,"July 4, 2016",57,Beginner
1146,The Harborview Bridge was completed in 1995 and is located in Stockholm. It attracts roughly 3400 visitors every year.,Where is the Harborview Bridge located?,Stockholm,62,Beginner
1147,Oakwood Publishing House was founded in Toronto in 1995 by Priya Lewis. The company now employs more than 250000 people across Ireland.,In what year was Oakwood Publishing House founded?,1995,51,Beginner
1148,Riverside Bank was founded in Cairo in 1998 by Ingrid Haddad. The company now employs more than 1200 people across Poland.,In what year was Riverside Bank founded?,1998,39,Beginner
1149,Global Trade Partners was founded in Seoul in 2003 by Sara Young. The company now employs more than 22000 people across Germany.,Who founded Global Trade Partners?,Sara Young,54,Intermediate
1150,Maria Silva published a research paper on renewable energy storage in 1994 while working at Silverline Motors in Cape Town.,What topic did Maria Silva research?,renewable energy storage,42,Beginner
1151,Ibrahim Patel published a research paper on urban air quality in 2012 while working at Crescent Media Group in Jakarta.,Where was Ibrahim Patel working when the paper was published?,Crescent Media Group,87,Intermediate
1152,"The global health conference took place in Helsinki on February 24, 2019, drawing an audience of about 8700 people from around Kenya.",Where did the global health conference take place?,Helsinki,43,Intermediate
1153,Aisha Fernandez joined Summit Robotics Inc. as a operations coordinator in 2017 and later moved to the Vancouver office in 2018.,What role did Aisha Fernandez join Summit Robotics Inc. as?,operations coordinator,49,Intermediate
1154,The Harborview Bridge was completed in 2011 and is located in Copenhagen. It attracts roughly 8700 visitors every year.,Where is the Harborview Bridge located?,Copenhagen,62,Beginner
1155,The National Science Center was completed in 2000 and is located in Jakarta. It attracts roughly 96000 visitors every year.,When was the National Science Center completed?,2000,45,Intermediate
1156,Ingrid King joined Crescent Media Group as a operations coordinator in 1996 and later moved to the Melbourne office in 1997.,What role did Ingrid King join Crescent Media Group as?,operations coordinator,45,Advanced
1157,Chen Patel joined Brightline Technologies as a project manager in 1994 and later moved to the Osaka office in 1996.,Which office did Chen Patel later move to?,Osaka,94,Intermediate
1158,Wei Suzuki published a research paper on renewable energy storage in 1994 while working at Northfield University in Dublin.,In what year did Wei Suzuki publish the paper?,1994,69,Beginner
1159,"The science and innovation fair took place in Austin on November 16, 2023, drawing an audience of about 8700 people from around Ireland.",When did the science and innovation fair take place?,"November 16, 2023",56,Intermediate
1160,James Green published a research paper on quantum materials in 1998 while working at Cedar Grove Hospital in Santiago.,In what year did James Green publish the paper?,1998,63,Beginner
1161,Riverside Bank was founded in Denver in 1992 by Chen Garcia. The company now employs more than 250000 people across Finland.,In which city was Riverside Bank founded?,Denver,30,Advanced
1162,Wei Lewis published a research paper on renewable energy storage in 2009 while working at Cedar Grove Hospital in Toronto.,In what year did Wei Lewis publish the paper?,2009,68,Beginner
1163,Delta Cloud Services was founded in Nairobi in 2006 by Felix Lewis. The company now employs more than 96000 people across the United States.,Who founded Delta Cloud Services?,Felix Lewis,55,Beginner
1164,Yuki Moore published a research paper on urban air quality in 2004 while working at Pioneer Research Institute in Toronto.,In what year did Yuki Moore publish the paper?,2004,62,Intermediate
1165,Nina Dubois published a research paper on renewable energy storage in 2007 while working at Vertex Analytics in Toronto.,Where was Nina Dubois working when the paper was published?,Vertex Analytics,92,Advanced
1166,Wei Wright joined Harborview College as a lead engineer in 1994 and later moved to the Dublin office in 1998.,In what year did Wei Wright join Harborview College?,1994,59,Beginner
1167,Layla Baker joined Harborview College as a marketing director in 2011 and later moved to the Warsaw office in 2012.,What role did Layla Baker join Harborview College as?,marketing director,43,Beginner
1168,"The international film festival took place in Lisbon on May 20, 2025, drawing an audience of about 500000 people from around the Czech Republic.",When did the international film festival take place?,"May 20, 2025",56,Advanced
1169,Riverside Bank was founded in Toronto in 1999 by Fatima Nguyen. The company now employs more than 45000 people across Indonesia.,In what year was Riverside Bank founded?,1999,41,Advanced
1170,Emma Rossi joined Golden Gate Retailers as a operations coordinator in 2002 and later moved to the Mumbai office in 2005.,What role did Emma Rossi join Golden Gate Retailers as?,operations coordinator,45,Advanced
1171,The Central Library was completed in 2002 and is located in Warsaw. It attracts roughly 250000 visitors every year.,When was the Central Library completed?,2002,37,Intermediate
1172,Noah Wright published a research paper on deep-sea biology in 2014 while working at Union Manufacturing Corp. in Santiago.,In what year did Noah Wright publish the paper?,2014,62,Beginner
1173,The Central Library was completed in 2016 and is located in Vancouver. It attracts roughly 1200 visitors every year.,When was the Central Library completed?,2016,37,Advanced
1174,Emma Khan joined Redstone Consulting as a lead engineer in 2006 and later moved to the Marrakesh office in 2010.,What role did Emma Khan join Redstone Consulting as?,lead engineer,42,Advanced
1175,"The global health conference took place in Osaka on May 16, 2022, drawing an audience of about 250000 people from around Kenya.",When did the global health conference take place?,"May 16, 2022",52,Advanced
1176,Delta Cloud Services was founded in Prague in 2012 by James Haddad. The company now employs more than 500000 people across Poland.,In which city was Delta Cloud Services founded?,Prague,36,Advanced
1177,"The international film festival took place in Osaka on April 5, 2025, drawing an audience of about 500000 people from around South Africa.",When did the international film festival take place?,"April 5, 2025",55,Advanced
1178,Crescent Media Group was founded in Kuala Lumpur in 2018 by Nina Wright. The company now employs more than 96000 people across Finland.,Who founded Crescent Media Group?,Nina Wright,60,Intermediate
1179,"The international film festival took place in Cape Town on December 17, 2025, drawing an audience of about 1200 people from around India.",When did the international film festival take place?,"December 17, 2025",59,Beginner
1180,Mateus Hall joined Zenith Pharmaceuticals as a senior analyst in 2001 and later moved to the Bangkok office in 2002.,What role did Mateus Hall join Zenith Pharmaceuticals as?,senior analyst,47,Beginner
1181,Ethan Larsen published a research paper on renewable energy storage in 2022 while working at Global Trade Partners in Prague.,Where was Ethan Larsen working when the paper was published?,Global Trade Partners,93,Intermediate
1182,The Central Library was completed in 1992 and is located in Austin. It attracts roughly 500000 visitors every year.,When was the Central Library completed?,1992,37,Intermediate
1183,The Grand Observatory was completed in 1990 and is located in Amsterdam. It attracts roughly 8700 visitors every year.,When was the Grand Observatory completed?,1990,39,Intermediate
1184,The Grand Observatory was completed in 2002 and is located in Osaka. It attracts roughly 22000 visitors every year.,When was the Grand Observatory completed?,2002,39,Advanced
1185,The Grand Observatory was completed in 2009 and is located in Santiago. It attracts roughly 250000 visitors every year.,Where is the Grand Observatory located?,Santiago,62,Intermediate
1186,Nadia Yamamoto published a research paper on renewable energy storage in 2013 while working at Zenith Pharmaceuticals in Zurich.,Where was Nadia Yamamoto working when the paper was published?,Zenith Pharmaceuticals,95,Beginner
1187,Wei Green joined Skyline Real Estate as a project manager in 2015 and later moved to the Jakarta office in 2019.,In what year did Wei Green join Skyline Real Estate?,2015,61,Intermediate
1188,"The technology summit took place in Osaka on October 9, 2018, drawing an audience of about 96000 people from around Indonesia.",When did the technology summit take place?,"October 9, 2018",45,Advanced
1189,The Harborview Bridge was completed in 2018 and is located in Manila. It attracts roughly 500000 visitors every year.,When was the Harborview Bridge completed?,2018,39,Intermediate
1190,Felix Wright joined Crescent Media Group as a senior analyst in 2006 and later moved to the Kuala Lumpur office in 2010.,Which office did Felix Wright later move to?,Kuala Lumpur,92,Intermediate
1191,The Central Library was completed in 2006 and is located in Copenhagen. It attracts roughly 22000 visitors every year.,Where is the Central Library located?,Copenhagen,60,Beginner
1192,Crescent Media Group was founded in Edinburgh in 2008 by Lucas King. The company now employs more than 96000 people across Ireland.,In which city was Crescent Media Group founded?,Edinburgh,36,Intermediate
1193,Ahmed Kim joined Ironwood Steel Works as a marketing director in 2010 and later moved to the Buenos Aires office in 2014.,In what year did Ahmed Kim join Ironwood Steel Works?,2010,65,Intermediate
1194,Wei Young published a research paper on genetic markers in 2003 while working at Cedar Grove Hospital in Prague.,Where was Wei Young working when the paper was published?,Cedar Grove Hospital,81,Beginner
1195,Hassan Rossi published a research paper on renewable energy storage in 2001 while working at Oakwood Publishing House in Vancouver.,Where was Hassan Rossi working when the paper was published?,Oakwood Publishing House,93,Advanced
1196,Chen Dubois published a research paper on renewable energy storage in 1998 while working at Lakeside Medical Center in Osaka.,In what year did Chen Dubois publish the paper?,1998,70,Intermediate
1197,Riverside Bank was founded in Amsterdam in 2014 by Chen Osei. The company now employs more than 500000 people across Denmark.,In what year was Riverside Bank founded?,2014,43,Intermediate
1198,Liam Brown joined Ironwood Steel Works as a lead engineer in 2013 and later moved to the Austin office in 2014.,In what year did Liam Brown join Ironwood Steel Works?,2013,61,Intermediate
1199,The Harborview Bridge was completed in 2016 and is located in Berlin. It attracts roughly 15000 visitors every year.,Where is the Harborview Bridge located?,Berlin,62,Beginner
1200,Zenith Pharmaceuticals was founded in Berlin in 1993 by Carlos Costa. The company now employs more than 22000 people across Indonesia.,In which city was Zenith Pharmaceuticals founded?,Berlin,38,Beginner
1201,George Taylor joined Skyline Real Estate as a senior analyst in 1998 and later moved to the Stockholm office in 1999.,What role did George Taylor join Skyline Real Estate as?,senior analyst,46,Beginner
1202,Oakwood Publishing House was founded in Cape Town in 2017 by Adaeze Nguyen. The company now employs more than 15000 people across Germany.,In what year was Oakwood Publishing House founded?,2017,53,Beginner
1203,"The robotics championship took place in Buenos Aires on March 20, 2018, drawing an audience of about 45000 people from around Japan.",When did the robotics championship take place?,"March 20, 2018",56,Intermediate
1204,The Riverside Museum was completed in 1993 and is located in Dublin. It attracts roughly 3400 visitors every year.,Where is the Riverside Museum located?,Dublin,61,Intermediate
1205,Ahmed Larsen published a research paper on quantum materials in 1995 while working at Meridian Financial Group in Berlin.,In what year did Ahmed Larsen publish the paper?,1995,64,Advanced
1206,"The robotics championship took place in Bangkok on December 23, 2021, drawing an audience of about 3400 people from around New Zealand.",When did the robotics championship take place?,"December 23, 2021",51,Advanced
1207,Sara Kim joined Meridian Financial Group as a lead engineer in 1998 and later moved to the Jakarta office in 2003.,In what year did Sara Kim join Meridian Financial Group?,1998,63,Intermediate
1208,"The technology summit took place in Marrakesh on February 24, 2019, drawing an audience of about 1200 people from around the Czech Republic.",When did the technology summit take place?,"February 24, 2019",49,Advanced
1209,The National Science Center was completed in 1992 and is located in Toronto. It attracts roughly 8700 visitors every year.,Where is the National Science Center located?,Toronto,68,Beginner
1210,Nina Brown published a research paper on deep-sea biology in 2017 while working at BrightFuture Foundation in Toronto.,In what year did Nina Brown publish the paper?,2017,61,Intermediate
1211,Mateus Smith published a research paper on machine translation in 2021 while working at Redstone Consulting in Mumbai.,Where was Mateus Smith working when the paper was published?,Redstone Consulting,88,Beginner
1212,Chloe Kim joined Aurora Data Systems as a lead engineer in 1997 and later moved to the Toronto office in 2000.,What role did Chloe Kim join Aurora Data Systems as?,lead engineer,42,Intermediate
1213,Maple Street School District was founded in Cairo in 2002 by Peter Baker. The company now employs more than 22000 people across the Netherlands.,Who founded Maple Street School District?,Peter Baker,61,Beginner
1214,"The annual jazz festival took place in Wellington on June 1, 2020, drawing an audience of about 22000 people from around Japan.",When did the annual jazz festival take place?,"June 1, 2020",53,Intermediate
1215,Sofia Walker published a research paper on urban air quality in 1994 while working at Skyline Real Estate in Lisbon.,In what year did Sofia Walker publish the paper?,1994,64,Intermediate
1216,The Central Library was completed in 2021 and is located in Cape Town. It attracts roughly 250000 visitors every year.,When was the Central Library completed?,2021,37,Advanced
1217,The Harborview Bridge was completed in 1994 and is located in Nairobi. It attracts roughly 3400 visitors every year.,When was the Harborview Bridge completed?,1994,39,Advanced
1218,The National Science Center was completed in 1991 and is located in Berlin. It attracts roughly 500000 visitors every year.,Where is the National Science Center located?,Berlin,68,Beginner
1219,Amara Young joined Blue Horizon Airlines as a lead engineer in 2023 and later moved to the Denver office in 2028.,In what year did Amara Young join Blue Horizon Airlines?,2023,63,Beginner
1220,"The annual jazz festival took place in Zurich on September 17, 2019, drawing an audience of about 1200 people from around the United States.",When did the annual jazz festival take place?,"September 17, 2019",49,Advanced
1221,"The technology summit took place in Stockholm on May 26, 2025, drawing an audience of about 15000 people from around Ireland.",Where did the technology summit take place?,Stockholm,36,Intermediate
1222,Ahmed Novak published a research paper on quantum materials in 1998 while working at Harborview College in Santiago.,What topic did Ahmed Novak research?,quantum materials,42,Advanced
1223,The Old Town Hall was completed in 2000 and is located in Toronto. It attracts roughly 45000 visitors every year.,When was the Old Town Hall completed?,2000,35,Intermediate
1224,Sofia Anderson published a research paper on deep-sea biology in 2009 while working at Zenith Pharmaceuticals in Nairobi.,In what year did Sofia Anderson publish the paper?,2009,65,Intermediate
1225,Coastal Insurance Co. was founded in Cairo in 2022 by Carlos Kim. The company now employs more than 15000 people across Sweden.,In which city was Coastal Insurance Co. founded?,Cairo,37,Intermediate
1226,Daniel Baker joined Ironwood Steel Works as a operations coordinator in 2006 and later moved to the Prague office in 2009.,Which office did Daniel Baker later move to?,Prague,100,Beginner
1227,"The science and innovation fair took place in Melbourne on July 9, 2023, drawing an audience of about 250000 people from around Argentina.",Where did the science and innovation fair take place?,Melbourne,46,Intermediate
1228,"The global health conference took place in Seoul on March 8, 2022, drawing an audience of about 3400 people from around the Philippines.",When did the global health conference take place?,"March 8, 2022",52,Beginner
1229,"The global health conference took place in Lisbon on December 11, 2021, drawing an audience of about 15000 people from around Canada.",When did the global health conference take place?,"December 11, 2021",53,Intermediate
1230,Oakwood Publishing House was founded in Bangkok in 2003 by George Taylor. The company now employs more than 45000 people across Australia.,In what year was Oakwood Publishing House founded?,2003,51,Beginner
1231,Golden Gate Retailers was founded in Austin in 2018 by Mei Johansson. The company now employs more than 500000 people across Japan.,In which city was Golden Gate Retailers founded?,Austin,37,Beginner
1232,Chen Suzuki joined BrightFuture Foundation as a senior analyst in 2009 and later moved to the Wellington office in 2014.,What role did Chen Suzuki join BrightFuture Foundation as?,senior analyst,48,Beginner
1233,Chloe Clark joined Falcon Logistics as a operations coordinator in 2011 and later moved to the Melbourne office in 2013.,What role did Chloe Clark join Falcon Logistics as?,operations coordinator,41,Intermediate
1234,"The technology summit took place in Cairo on April 1, 2024, drawing an audience of about 45000 people from around Finland.",When did the technology summit take place?,"April 1, 2024",45,Beginner
1235,"The science and innovation fair took place in Stockholm on December 23, 2018, drawing an audience of about 250000 people from around Chile.",Where did the science and innovation fair take place?,Stockholm,46,Beginner
1236,The Grand Observatory was completed in 1994 and is located in Manila. It attracts roughly 3400 visitors every year.,When was the Grand Observatory completed?,1994,39,Beginner
1237,Mei Patel published a research paper on machine translation in 1998 while working at Redstone Consulting in Marrakesh.,What topic did Mei Patel research?,machine translation,40,Beginner
1238,Elena Chen published a research paper on genetic markers in 2003 while working at Silverline Motors in Edinburgh.,What topic did Elena Chen research?,genetic markers,41,Advanced
1239,The Riverside Museum was completed in 2010 and is located in Buenos Aires. It attracts roughly 8700 visitors every year.,When was the Riverside Museum completed?,2010,38,Advanced
1240,The Central Library was completed in 2013 and is located in Copenhagen. It attracts roughly 8700 visitors every year.,Where is the Central Library located?,Copenhagen,60,Advanced
1241,The Old Town Hall was completed in 2015 and is located in Seoul. It attracts roughly 22000 visitors every year.,When was the Old Town Hall completed?,2015,35,Advanced
1242,The National Science Center was completed in 1994 and is located in Kuala Lumpur. It attracts roughly 3400 visitors every year.,When was the National Science Center completed?,1994,45,Intermediate
1243,Layla Osei joined Coastal Insurance Co. as a senior analyst in 2001 and later moved to the Jakarta office in 2005.,What role did Layla Osei join Coastal Insurance Co. as?,senior analyst,45,Beginner
1244,Emma Fernandez published a research paper on genetic markers in 1993 while working at Zenith Pharmaceuticals in Helsinki.,In what year did Emma Fernandez publish the paper?,1993,64,Beginner
1245,"The annual jazz festival took place in Cape Town on November 11, 2016, drawing an audience of about 250000 people from around Sweden.",Where did the annual jazz festival take place?,Cape Town,39,Intermediate
1246,Sofia Nguyen joined Falcon Logistics as a lead engineer in 2005 and later moved to the Edinburgh office in 2009.,What role did Sofia Nguyen join Falcon Logistics as?,lead engineer,42,Advanced
1247,Isabella Clark joined Zenith Pharmaceuticals as a senior analyst in 2001 and later moved to the Nairobi office in 2006.,In what year did Isabella Clark join Zenith Pharmaceuticals?,2001,68,Advanced
1248,The National Science Center was completed in 1999 and is located in Melbourne. It attracts roughly 96000 visitors every year.,When was the National Science Center completed?,1999,45,Advanced
1249,"The global health conference took place in Zurich on October 6, 2023, drawing an audience of about 15000 people from around Finland.",Where did the global health conference take place?,Zurich,43,Intermediate
1250,The Old Town Hall was completed in 1996 and is located in Bangkok. It attracts roughly 250000 visitors every year.,When was the Old Town Hall completed?,1996,35,Intermediate
1251,Noah Wilson joined Blue Horizon Airlines as a senior analyst in 2014 and later moved to the Mumbai office in 2018.,Which office did Noah Wilson later move to?,Mumbai,92,Advanced
1252,Maple Street School District was founded in Cape Town in 1993 by Ahmed Brown. The company now employs more than 1200 people across Denmark.,In which city was Maple Street School District founded?,Cape Town,44,Advanced
1253,"The technology summit took place in Mumbai on June 13, 2021, drawing an audience of about 500000 people from around Germany.",When did the technology summit take place?,"June 13, 2021",46,Beginner
1254,Ingrid Walker joined Union Manufacturing Corp. as a research scientist in 2011 and later moved to the Melbourne office in 2014.,In what year did Ingrid Walker join Union Manufacturing Corp.?,2011,74,Beginner
1255,The Harborview Bridge was completed in 1993 and is located in Mumbai. It attracts roughly 500000 visitors every year.,When was the Harborview Bridge completed?,1993,39,Intermediate
1256,"The annual jazz festival took place in Prague on October 4, 2015, drawing an audience of about 500000 people from around Japan.",When did the annual jazz festival take place?,"October 4, 2015",49,Beginner
1257,The Old Town Hall was completed in 1997 and is located in Amsterdam. It attracts roughly 96000 visitors every year.,When was the Old Town Hall completed?,1997,35,Beginner
1258,The Grand Observatory was completed in 2006 and is located in Osaka. It attracts roughly 1200 visitors every year.,Where is the Grand Observatory located?,Osaka,62,Intermediate
1259,The Harborview Bridge was completed in 1999 and is located in Manila. It attracts roughly 15000 visitors every year.,When was the Harborview Bridge completed?,1999,39,Intermediate
1260,"The annual jazz festival took place in Lisbon on December 14, 2025, drawing an audience of about 22000 people from around Chile.",Where did the annual jazz festival take place?,Lisbon,39,Advanced
1261,Golden Gate Retailers was founded in Lisbon in 2009 by Adaeze Baker. The company now employs more than 8700 people across Kenya.,Who founded Golden Gate Retailers?,Adaeze Baker,55,Beginner
1262,The Harborview Bridge was completed in 2010 and is located in Zurich. It attracts roughly 3400 visitors every year.,Where is the Harborview Bridge located?,Zurich,62,Beginner
1263,"The science and innovation fair took place in Prague on June 8, 2019, drawing an audience of about 45000 people from around the Philippines.",When did the science and innovation fair take place?,"June 8, 2019",56,Intermediate
1264,Wei Yamamoto published a research paper on machine translation in 2000 while working at Skyline Real Estate in Jakarta.,What topic did Wei Yamamoto research?,machine translation,43,Beginner
1265,Olivia Johansson published a research paper on deep-sea biology in 1995 while working at Brightline Technologies in Dublin.,In what year did Olivia Johansson publish the paper?,1995,67,Advanced
1266,Chen Smith joined Riverside Bank as a operations coordinator in 1997 and later moved to the Denver office in 2001.,In what year did Chen Smith join Riverside Bank?,1997,64,Intermediate
1267,The Grand Observatory was completed in 2015 and is located in Manila. It attracts roughly 3400 visitors every year.,Where is the Grand Observatory located?,Manila,62,Intermediate
1268,Priya Silva joined Pioneer Research Institute as a lead engineer in 2012 and later moved to the Cape Town office in 2013.,In what year did Priya Silva join Pioneer Research Institute?,2012,68,Intermediate
1269,Julia Clark joined Skyline Real Estate as a project manager in 2006 and later moved to the Mumbai office in 2010.,What role did Julia Clark join Skyline Real Estate as?,project manager,44,Intermediate
1270,"The robotics championship took place in Seoul on March 19, 2015, drawing an audience of about 96000 people from around Indonesia.",Where did the robotics championship take place?,Seoul,40,Beginner
1271,Charlotte Chen joined Coastal Insurance Co. as a senior analyst in 2023 and later moved to the Kuala Lumpur office in 2027.,What role did Charlotte Chen join Coastal Insurance Co. as?,senior analyst,49,Beginner
