id,word,related_word,relationship,category,similarity_score
1325,library,research,Related Concept,Education,0.62
1326,retail,inventory,Related Concept,Business,0.63
1327,clean,tidy,Action,Daily Life,0.5
1328,analyst,data scientist,Profession,Technology,0.42
1329,bug,glitch,Synonym,Technology,0.84
1330,equipment,helmet,Category Member,Sports,0.7
1331,element,hydrogen,Category Member,Science,0.54
1332,forest,national park,Location,Nature,0.47
1333,ranger,conservationist,Profession,Nature,0.41
1334,easy,difficult,Antonym,Education,0.25
1335,department,finance,Category Member,Business,0.62
1336,software,update,Related Concept,Technology,0.5
1337,offense,defense,Antonym,Sports,0.13
1338,online,offline,Antonym,Technology,0.27
1339,kitchen,cooking,Related Concept,Daily Life,0.51
1340,happy,glad,Synonym,Daily Life,0.9
1341,server,data center,Location,Technology,0.5
1342,friend,companion,Synonym,Daily Life,0.85
1343,researcher,chemist,Profession,Science,0.45
1344,subject,mathematics,Category Member,Education,0.55
1345,ocean,sea,Synonym,Nature,0.92
1346,algorithm,optimization,Related Concept,Technology,0.58
1347,online,offline,Antonym,Technology,0.16
1348,executive,manager,Profession,Business,0.41
1349,startup,funding,Related Concept,Business,0.6
1350,company,firm,Synonym,Business,0.91
1351,subject,history,Category Member,Education,0.68
1352,biology,cell,Related Concept,Science,0.6
1353,measure,calculate,Action,Science,0.43
1354,victory,win,Synonym,Sports,0.82
1355,client,customer,Synonym,Business,0.91
1356,smart,intelligent,Synonym,Education,0.88
1357,exam,grading,Related Concept,Education,0.5
1358,house,home,Synonym,Daily Life,0.85
1359,coach,trainer,Synonym,Sports,0.95
1360,negotiate,bargain,Action,Business,0.4
1361,instrument,telescope,Category Member,Science,0.53
1362,bee,hive,Object,Nature,0.39
1363,study,review,Action,Education,0.58
1364,teacher,instructor,Synonym,Education,0.87
1365,marketing,advertising,Related Concept,Business,0.48
1366,tree,oak,Category Member,Nature,0.5
1367,teacher,student,Antonym,Education,0.11
1368,computer,mouse,Object,Technology,0.48
1369,animal,deer,Category Member,Nature,0.58
1370,furniture,table,Category Member,Daily Life,0.51
1371,test,verify,Action,Science,0.6
1372,import,export,Antonym,Business,0.29
1373,equipment,helmet,Category Member,Sports,0.57
1374,degree,master's,Category Member,Education,0.64
1375,planet,mars,Category Member,Science,0.69
1376,compete,play,Action,Sports,0.58
1377,educator,teacher,Profession,Education,0.45
1378,furniture,chair,Category Member,Daily Life,0.66
1379,element,hydrogen,Category Member,Science,0.67
1380,computer,keyboard,Object,Technology,0.48
1381,official,referee,Profession,Sports,0.52
1382,biology,field station,Location,Science,0.38
1383,furniture,table,Category Member,Daily Life,0.58
1384,online,offline,Antonym,Technology,0.1
1385,employee,staff member,Profession,Business,0.41
1386,biology,field station,Location,Science,0.37
1387,river,stream,Synonym,Nature,0.89
1388,animal,fox,Category Member,Nature,0.7
1389,university,campus,Location,Education,0.43
1390,soccer,ball,Object,Sports,0.48
1391,bear,den,Object,Nature,0.48
1392,grade,score,Synonym,Education,0.84
1393,teach,instruct,Action,Education,0.52
1394,degree,master's,Category Member,Education,0.63
1395,forest,wildlife,Related Concept,Nature,0.5
1396,browser,tab,Related Concept,Technology,0.62
1397,garden,planting,Related Concept,Daily Life,0.49
1398,classroom,whiteboard,Object,Education,0.47
1399,bedroom,pillow,Object,Daily Life,0.37
1400,meal,dish,Synonym,Daily Life,0.86
1401,network,router,Related Concept,Technology,0.47
1402,executive,director,Profession,Business,0.43
1403,experiment,trial,Synonym,Science,0.87
1404,physics,force,Related Concept,Science,0.62
1405,classroom,whiteboard,Object,Education,0.43
1406,analyze,interpret,Action,Science,0.4
1407,clean,dirty,Antonym,Daily Life,0.27
1408,bedroom,pillow,Object,Daily Life,0.38
1409,clean,dirty,Antonym,Daily Life,0.18
1410,train,practice,Action,Sports,0.44
1411,debug,fix,Action,Technology,0.54
1412,university,campus,Location,Education,0.38
1413,startup,funding,Related Concept,Business,0.47
1414,employee,staff member,Profession,Business,0.51
1415,chemistry,reaction,Related Concept,Science,0.63
1416,commute,traffic,Related Concept,Daily Life,0.59
1417,athlete,player,Profession,Sports,0.57
1418,animal,fox,Category Member,Nature,0.52
1419,teacher,student,Antonym,Education,0.14
1420,observe,record,Action,Science,0.51
1421,awake,asleep,Antonym,Daily Life,0.21
1422,administrator,principal,Profession,Education,0.47
1423,store,retail outlet,Location,Business,0.47
1424,awake,asleep,Antonym,Daily Life,0.26
1425,pass,fail,Antonym,Education,0.22
1426,department,marketing,Category Member,Business,0.64
1427,book,textbook,Synonym,Education,0.88
1428,startup,funding,Related Concept,Business,0.63
1429,astronomy,observatory,Location,Science,0.43
1430,fast,slow,Antonym,Technology,0.19
1431,technician,IT support,Profession,Technology,0.52
1432,office,desk,Object,Business,0.37
1433,modern,outdated,Antonym,Technology,0.2
1434,grade,score,Synonym,Education,0.93
1435,computer,keyboard,Object,Technology,0.46
1436,subject,history,Category Member,Education,0.62
1437,school,university,Category Member,Education,0.59
1438,university,campus,Location,Education,0.51
1439,appliance,microwave,Category Member,Daily Life,0.62
1440,browser,tab,Related Concept,Technology,0.56
1441,company,headquarters,Location,Business,0.54
1442,science,laboratory,Location,Science,0.38
1443,chemistry,reaction,Related Concept,Science,0.58
1444,sport,basketball,Category Member,Sports,0.58
1445,offense,defense,Antonym,Sports,0.24
1446,market,town square,Location,Daily Life,0.53
1447,classroom,desk,Object,Education,0.51
1448,furniture,chair,Category Member,Daily Life,0.58
1449,teacher,student,Antonym,Education,0.22
1450,ocean,coral reef,Related Concept,Nature,0.56
1451,invest,fund,Action,Business,0.42
1452,school,curriculum,Related Concept,Education,0.46
1453,role,manager,Category Member,Business,0.52
1454,erode,wear,Action,Nature,0.58
1455,profit,loss,Antonym,Business,0.25
1456,hot,cold,Antonym,Nature,0.26
1457,modern,outdated,Antonym,Technology,0.27
1458,football,stadium,Location,Sports,0.49
1459,planet,earth,Category Member,Science,0.66
1460,equipment,gloves,Category Member,Sports,0.57
1461,supply,demand,Antonym,Business,0.23
1462,company,headquarters,Location,Business,0.42
1463,win,lose,Antonym,Sports,0.1
1464,hypothesis,theory,Synonym,Science,0.82
1465,developer,programmer,Profession,Technology,0.44
1466,school,classroom,Location,Education,0.41
1467,device,tablet,Category Member,Technology,0.52
1468,test,verify,Action,Science,0.51
1469,student,pupil,Synonym,Education,0.89
1470,exam,test,Synonym,Education,0.86
1471,amateur,professional,Antonym,Sports,0.28
1472,river,ecosystem,Related Concept,Nature,0.5
1473,library,research,Related Concept,Education,0.63
1474,biology,cell,Related Concept,Science,0.61
1475,algorithm,optimization,Related Concept,Technology,0.59
1476,tennis,racket,Object,Sports,0.37
1477,department,marketing,Category Member,Business,0.69
1478,day,night,Antonym,Nature,0.2
1479,subject,history,Category Member,Education,0.56
1480,school,curriculum,Related Concept,Education,0.63
1481,cleaner,housekeeper,Profession,Daily Life,0.41
1482,hot,cold,Antonym,Nature,0.14
1483,relax,unwind,Action,Daily Life,0.57
1484,official,referee,Profession,Sports,0.54
1485,mountain,peak,Synonym,Nature,0.92
1486,forest,woodland,Synonym,Nature,0.94
1487,geology,mineral,Related Concept,Science,0.48
1488,element,oxygen,Category Member,Science,0.56
1489,sport,basketball,Category Member,Sports,0.53
1490,commute,travel,Action,Daily Life,0.47
1491,degree,master's,Category Member,Education,0.52
1492,debug,fix,Action,Technology,0.59
1493,element,hydrogen,Category Member,Science,0.69
1494,planet,earth,Category Member,Science,0.51
1495,bird,nest,Object,Nature,0.37
1496,algorithm,optimization,Related Concept,Technology,0.62
1497,book,textbook,Synonym,Education,0.93
1498,awake,asleep,Antonym,Daily Life,0.14
1499,meal,dish,Synonym,Daily Life,0.81
1500,mountain,range,Location,Nature,0.53
1501,biology,cell,Related Concept,Science,0.49
1502,large,major,Synonym,Business,0.83
1503,subject,history,Category Member,Education,0.64
1504,erode,wear,Action,Nature,0.6
1505,server,data center,Location,Technology,0.55
1506,park,neighborhood,Location,Daily Life,0.53
1507,marketing,advertising,Related Concept,Business,0.47
1508,cheap,affordable,Synonym,Business,0.8
1509,bedroom,sleep,Related Concept,Daily Life,0.57
1510,river,ecosystem,Related Concept,Nature,0.56
1511,company,firm,Synonym,Business,0.88
1512,hardware,keyboard,Category Member,Technology,0.56
1513,software,app,Category Member,Technology,0.54
1514,score,win,Action,Sports,0.43
1515,friend,companion,Synonym,Daily Life,0.82
1516,pass,fail,Antonym,Education,0.23
1517,team,squad,Synonym,Sports,0.94
1518,compile,build,Action,Technology,0.56
1519,tree,oak,Category Member,Nature,0.66
1520,train,practice,Action,Sports,0.52
1521,hot,cold,Antonym,Nature,0.13
1522,test,verify,Action,Science,0.44
1523,organic,synthetic,Antonym,Science,0.12
1524,researcher,chemist,Profession,Science,0.52
1525,fast,quick,Synonym,Technology,0.85
1526,forest,wildlife,Related Concept,Nature,0.56
1527,animal,fox,Category Member,Nature,0.63
1528,swimming,pool,Related Concept,Sports,0.64
1529,equipment,helmet,Category Member,Sports,0.66
1530,large,major,Synonym,Business,0.91
1531,cheap,affordable,Synonym,Technology,0.85
1532,biology,cell,Related Concept,Science,0.63
1533,algorithm,optimization,Related Concept,Technology,0.54
1534,server,data center,Location,Technology,0.42
1535,tennis,court,Location,Sports,0.55
1536,enroll,register,Action,Education,0.6
1537,marketing,advertising,Related Concept,Business,0.61
1538,install,setup,Action,Technology,0.42
1539,factory,warehouse,Location,Business,0.55
1540,astronomy,galaxy,Related Concept,Science,0.5
1541,cook,chef,Profession,Daily Life,0.53
1542,factory,warehouse,Location,Business,0.54
1543,sport,basketball,Category Member,Sports,0.62
1544,desert,drought,Related Concept,Nature,0.5
1545,physics,force,Related Concept,Science,0.5
1546,equipment,gloves,Category Member,Sports,0.62
1547,researcher,chemist,Profession,Science,0.42
1548,offense,defense,Antonym,Sports,0.18
1549,lab,microscope,Object,Science,0.42
1550,kitchen,cooking,Related Concept,Daily Life,0.64
1551,laptop,battery,Object,Technology,0.42
1552,classroom,lecture,Related Concept,Education,0.47
1553,buy,sell,Antonym,Business,0.28
1554,commute,travel,Action,Daily Life,0.41
1555,official,referee,Profession,Sports,0.45
1556,soccer,ball,Object,Sports,0.54
1557,researcher,scientist,Profession,Science,0.45
1558,instrument,microscope,Category Member,Science,0.57
1559,school,university,Category Member,Education,0.63
1560,stable,unstable,Antonym,Science,0.27
1561,strong,powerful,Synonym,Sports,0.8
1562,deploy,launch,Action,Technology,0.58
1563,data,information,Synonym,Science,0.91
1564,cheap,affordable,Synonym,Business,0.88
1565,friend,companion,Synonym,Daily Life,0.83
1566,element,hydrogen,Category Member,Science,0.68
1567,educator,professor,Profession,Education,0.46
1568,grade,score,Synonym,Education,0.81
1569,football,stadium,Location,Sports,0.52
1570,friend,companion,Synonym,Daily Life,0.84
1571,software,app,Category Member,Technology,0.52
1572,kitchen,cooking,Related Concept,Daily Life,0.54
1573,ocean,coral reef,Related Concept,Nature,0.6
1574,river,ecosystem,Related Concept,Nature,0.52
1575,device,smartphone,Category Member,Technology,0.59
1576,bug,glitch,Synonym,Technology,0.92
1577,offense,defense,Antonym,Sports,0.11
1578,offense,defense,Antonym,Sports,0.22
1579,tree,pine,Category Member,Nature,0.63
1580,appliance,microwave,Category Member,Daily Life,0.54
1581,forest,wildlife,Related Concept,Nature,0.49
1582,large,huge,Synonym,Technology,0.83
1583,running,track,Related Concept,Sports,0.6
1584,developer,coder,Profession,Technology,0.44
1585,grade,score,Synonym,Education,0.87
1586,cheap,affordable,Synonym,Technology,0.84
1587,park,neighborhood,Location,Daily Life,0.46
1588,software,update,Related Concept,Technology,0.49
1589,element,oxygen,Category Member,Science,0.66
1590,grade,score,Synonym,Education,0.91
1591,stable,unstable,Antonym,Science,0.19
1592,study,review,Action,Education,0.41
1593,database,query,Related Concept,Technology,0.49
1594,negotiate,bargain,Action,Business,0.58
1595,software,app,Category Member,Technology,0.69
1596,exam,grading,Related Concept,Education,0.62
1597,desert,drought,Related Concept,Nature,0.64
1598,book,textbook,Synonym,Education,0.92
1599,role,analyst,Category Member,Business,0.66
1600,researcher,physicist,Profession,Science,0.46
1601,team,squad,Synonym,Sports,0.86
1602,win,lose,Antonym,Sports,0.26
1603,library,reading room,Location,Education,0.5
1604,profit,loss,Antonym,Business,0.27
1605,forest,national park,Location,Nature,0.46
1606,cheap,affordable,Synonym,Technology,0.89
1607,employee,staff member,Profession,Business,0.46
1608,library,reading room,Location,Education,0.47
1609,laptop,battery,Object,Technology,0.43
1610,planet,earth,Category Member,Science,0.56
1611,chemistry,reaction,Related Concept,Science,0.47
1612,hardware,monitor,Category Member,Technology,0.69
1613,marketing,advertising,Related Concept,Business,0.46
1614,accountant,spreadsheet,Object,Business,0.43
1615,planet,mars,Category Member,Science,0.59
1616,university,degree,Related Concept,Education,0.52
1617,erode,wear,Action,Nature,0.4
1618,cook,prepare,Action,Daily Life,0.59
1619,desert,drought,Related Concept,Nature,0.51
1620,hire,recruit,Action,Business,0.47
1621,tree,pine,Category Member,Nature,0.54
1622,market,town square,Location,Daily Life,0.55
1623,offense,defense,Antonym,Sports,0.1
1624,house,home,Synonym,Daily Life,0.81
1625,algorithm,optimization,Related Concept,Technology,0.45
1626,bloom,flower,Action,Nature,0.51
1627,discovery,finding,Synonym,Science,0.92
1628,ocean,coral reef,Related Concept,Nature,0.53
1629,market,town square,Location,Daily Life,0.39
1630,algorithm,optimization,Related Concept,Technology,0.46
1631,hardware,monitor,Category Member,Technology,0.56
1632,device,tablet,Category Member,Technology,0.6
1633,accurate,inaccurate,Antonym,Science,0.22
1634,bedroom,pillow,Object,Daily Life,0.45
1635,store,retail outlet,Location,Business,0.45
1636,relax,unwind,Action,Daily Life,0.46
1637,educator,professor,Profession,Education,0.4
1638,large,major,Synonym,Business,0.81
1639,school,curriculum,Related Concept,Education,0.65
1640,degree,bachelor's,Category Member,Education,0.6
1641,swimming,pool,Location,Sports,0.53
1642,install,setup,Action,Technology,0.51
1643,tennis,racket,Object,Sports,0.4
1644,database,query,Related Concept,Technology,0.61
1645,grade,evaluate,Action,Education,0.54
1646,analyst,data scientist,Profession,Technology,0.45
1647,import,export,Antonym,Business,0.13
1648,tennis,court,Location,Sports,0.36
1649,fast,quick,Synonym,Sports,0.92
1650,park,neighborhood,Location,Daily Life,0.42
1651,astronomy,observatory,Location,Science,0.4
1652,profit,earnings,Synonym,Business,0.85
1653,accountant,spreadsheet,Object,Business,0.5
1654,furniture,table,Category Member,Daily Life,0.54
1655,enroll,register,Action,Education,0.53
1656,hardware,monitor,Category Member,Technology,0.5
1657,computer,laptop,Synonym,Technology,0.88
1658,tree,pine,Category Member,Nature,0.51
1659,negotiate,bargain,Action,Business,0.43
1660,forest,wildlife,Related Concept,Nature,0.47
1661,secure,vulnerable,Antonym,Technology,0.12
1662,large,huge,Synonym,Technology,0.9
1663,fast,quick,Synonym,Technology,0.81
1664,bee,hive,Object,Nature,0.44
1665,modern,outdated,Antonym,Technology,0.14
1666,cleaner,housekeeper,Profession,Daily Life,0.43
1667,swimming,pool,Location,Sports,0.52
1668,garden,planting,Related Concept,Daily Life,0.46
1669,bear,den,Object,Nature,0.45
1670,element,oxygen,Category Member,Science,0.69
1671,ranger,conservationist,Profession,Nature,0.57
1672,friend,companion,Synonym,Daily Life,0.95
1673,day,night,Antonym,Nature,0.25
1674,forest,woodland,Synonym,Nature,0.86
1675,hire,recruit,Action,Business,0.53
1676,classroom,desk,Object,Education,0.53
1677,market,town square,Location,Daily Life,0.38
1678,desert,drought,Related Concept,Nature,0.61
1679,device,tablet,Category Member,Technology,0.63
1680,compete,play,Action,Sports,0.52
1681,hypothesis,theory,Synonym,Science,0.84
1682,department,marketing,Category Member,Business,0.54
1683,hibernate,rest,Action,Nature,0.52
1684,wild,tame,Antonym,Nature,0.18
1685,coach,mentor,Action,Sports,0.41
1686,migrate,travel,Action,Nature,0.49
1687,computer,mouse,Object,Technology,0.39
1688,lab,beaker,Object,Science,0.49
1689,supply,demand,Antonym,Business,0.15
1690,pass,fail,Antonym,Education,0.19
1691,degree,master's,Category Member,Education,0.65
1692,element,oxygen,Category Member,Science,0.51
1693,victory,win,Synonym,Sports,0.87
1694,public,private,Antonym,Technology,0.27
1695,online,offline,Antonym,Technology,0.22
1696,library,research,Related Concept,Education,0.58
1697,official,umpire,Profession,Sports,0.56
1698,profit,loss,Antonym,Business,0.29
1699,client,customer,Synonym,Business,0.95
1700,happy,glad,Synonym,Daily Life,0.95
1701,public,private,Antonym,Education,0.15
1702,teacher,chalkboard,Object,Education,0.45
1703,university,degree,Related Concept,Education,0.53
1704,ranger,conservationist,Profession,Nature,0.5
1705,strong,weak,Antonym,Sports,0.15
1706,counselor,advisor,Profession,Education,0.48
1707,network,router,Related Concept,Technology,0.64
1708,bear,den,Object,Nature,0.5
1709,startup,tech hub,Location,Technology,0.52
1710,element,oxygen,Category Member,Science,0.7
1711,garden,planting,Related Concept,Daily Life,0.47
1712,kitchen,stove,Object,Daily Life,0.35
1713,secure,protected,Synonym,Technology,0.82
1714,factory,warehouse,Location,Business,0.53
1715,teacher,student,Antonym,Education,0.26
1716,chemist,flask,Object,Science,0.54
1717,science,laboratory,Location,Science,0.46
1718,store,retail outlet,Location,Business,0.52
1719,river,valley,Location,Nature,0.5
1720,forest,woodland,Synonym,Nature,0.89
1721,browser,tab,Related Concept,Technology,0.6
1722,degree,bachelor's,Category Member,Education,0.57
1723,house,home,Synonym,Daily Life,0.92
1724,teacher,student,Antonym,Education,0.18
1725,biology,field station,Location,Science,0.49
1726,happy,glad,Synonym,Daily Life,0.81
1727,kitchen,cooking,Related Concept,Daily Life,0.65
1728,ranger,conservationist,Profession,Nature,0.59
1729,win,lose,Antonym,Sports,0.15
1730,geology,mineral,Related Concept,Science,0.61
1731,mountain,range,Location,Nature,0.55
1732,swimming,pool,Location,Sports,0.36
1733,element,oxygen,Category Member,Science,0.64
1734,role,manager,Category Member,Business,0.61
1735,tree,oak,Category Member,Nature,0.64
1736,bug,glitch,Synonym,Technology,0.9
1737,role,manager,Category Member,Business,0.58
1738,day,night,Antonym,Nature,0.1
1739,software,update,Related Concept,Technology,0.64
1740,animal,fox,Category Member,Nature,0.54
1741,analyst,data scientist,Profession,Technology,0.52
1742,instrument,telescope,Category Member,Science,0.54
1743,physics,force,Related Concept,Science,0.61
1744,animal,fox,Category Member,Nature,0.57
1745,driver,commuter,Profession,Daily Life,0.48
1746,import,export,Antonym,Business,0.11
1747,measure,calculate,Action,Science,0.53
1748,enroll,register,Action,Education,0.44
1749,mountain,range,Location,Nature,0.49
1750,day,night,Antonym,Nature,0.22
1751,company,headquarters,Location,Business,0.45
1752,student,backpack,Object,Education,0.44
1753,classroom,desk,Object,Education,0.43
1754,furniture,table,Category Member,Daily Life,0.62
1755,instrument,telescope,Category Member,Science,0.7
1756,measure,calculate,Action,Science,0.5
1757,river,ecosystem,Related Concept,Nature,0.61
1758,garden,planting,Related Concept,Daily Life,0.5
1759,tree,pine,Category Member,Nature,0.68
1760,accurate,precise,Synonym,Science,0.88
1761,developer,programmer,Profession,Technology,0.42
1762,store,retail outlet,Location,Business,0.36
1763,kitchen,cooking,Related Concept,Daily Life,0.61
1764,large,huge,Synonym,Technology,0.91
1765,school,classroom,Location,Education,0.35
1766,measure,calculate,Action,Science,0.45
1767,library,research,Related Concept,Education,0.64
1768,cyclist,bicycle,Object,Sports,0.48
1769,strong,powerful,Synonym,Sports,0.82
1770,class,lesson,Synonym,Education,0.85
1771,factory,warehouse,Location,Business,0.36
1772,buy,sell,Antonym,Business,0.25
1773,ranger,conservationist,Profession,Nature,0.46
1774,data,information,Synonym,Science,0.82
1775,instrument,microscope,Category Member,Science,0.56
1776,park,neighborhood,Location,Daily Life,0.5
1777,secure,protected,Synonym,Technology,0.93
1778,bathroom,mirror,Object,Daily Life,0.35
1779,cloud,storage,Related Concept,Technology,0.49
1780,accountant,spreadsheet,Object,Business,0.36
1781,cook,chef,Profession,Daily Life,0.43
1782,house,home,Synonym,Daily Life,0.83
1783,university,degree,Related Concept,Education,0.49
1784,role,manager,Category Member,Business,0.68
1785,appliance,microwave,Category Member,Daily Life,0.67
1786,migrate,travel,Action,Nature,0.52
1787,software,update,Related Concept,Technology,0.54
1788,swimming,pool,Related Concept,Sports,0.61
1789,lab,research center,Location,Technology,0.44
1790,buy,sell,Antonym,Business,0.1
1791,invest,fund,Action,Business,0.4
1792,cloud,storage,Related Concept,Technology,0.61
1793,executive,director,Profession,Business,0.56
1794,river,ecosystem,Related Concept,Nature,0.58
1795,tennis,racket,Related Concept,Sports,0.46
1796,planet,mars,Category Member,Science,0.65
1797,bedroom,sleep,Related Concept,Daily Life,0.62
1798,researcher,chemist,Profession,Science,0.57
1799,phone,charger,Object,Technology,0.53
1800,class,lesson,Synonym,Education,0.92
1801,train,practice,Action,Sports,0.53
1802,mountain,range,Location,Nature,0.35
1803,teach,instruct,Action,Education,0.4
1804,employee,staff member,Profession,Business,0.55
1805,river,stream,Synonym,Nature,0.8
1806,migrate,travel,Action,Nature,0.46
1807,score,win,Action,Sports,0.52
1808,university,degree,Related Concept,Education,0.64
1809,network,internet,Synonym,Technology,0.84
1810,wireless,wired,Antonym,Technology,0.27
1811,kitchen,cooking,Related Concept,Daily Life,0.48
1812,wet,dry,Antonym,Nature,0.13
1813,software,update,Related Concept,Technology,0.59
1814,profit,earnings,Synonym,Business,0.95
1815,discovery,finding,Synonym,Science,0.84
1816,river,valley,Location,Nature,0.47
1817,coach,mentor,Action,Sports,0.6
1818,online,offline,Antonym,Technology,0.28
1819,cyclist,bicycle,Object,Sports,0.51
1820,data,information,Synonym,Science,0.88
1821,instrument,telescope,Category Member,Science,0.6
1822,hot,cold,Antonym,Nature,0.12
1823,counselor,advisor,Profession,Education,0.46
1824,equipment,gloves,Category Member,Sports,0.6
1825,startup,funding,Related Concept,Business,0.49
1826,store,retail outlet,Location,Business,0.46
1827,school,university,Category Member,Education,0.58
1828,cloud,storage,Related Concept,Technology,0.52
1829,technician,IT support,Profession,Technology,0.48
1830,browser,tab,Related Concept,Technology,0.64
1831,clean,tidy,Action,Daily Life,0.58
1832,cheap,affordable,Synonym,Technology,0.95
1833,educator,professor,Profession,Education,0.45
1834,coach,trainer,Synonym,Sports,0.92
1835,garden,planting,Related Concept,Daily Life,0.51
1836,grade,score,Synonym,Education,0.95
1837,kitchen,cooking,Related Concept,Daily Life,0.46
1838,debug,fix,Action,Technology,0.53
1839,wet,dry,Antonym,Nature,0.14
1840,observe,record,Action,Science,0.43
1841,astronomer,telescope,Object,Science,0.46
1842,mountain,peak,Synonym,Nature,0.84
1843,buy,sell,Antonym,Business,0.23
1844,mountain,range,Location,Nature,0.5
1845,geology,mineral,Related Concept,Science,0.59
1846,gadget,smartwatch,Category Member,Technology,0.58
1847,exam,test,Synonym,Education,0.82
1848,forest,woodland,Synonym,Nature,0.85
1849,offense,defense,Antonym,Sports,0.27
1850,lab,research center,Location,Technology,0.47
1851,animal,deer,Category Member,Nature,0.52
1852,secure,protected,Synonym,Technology,0.86
1853,boxer,gloves,Object,Sports,0.48
1854,sport,soccer,Category Member,Sports,0.6
1855,cloud,storage,Related Concept,Technology,0.45
1856,element,hydrogen,Category Member,Science,0.66
1857,fast,quick,Synonym,Sports,0.95
1858,bird,nest,Object,Nature,0.41
1859,clean,tidy,Action,Daily Life,0.56
1860,furniture,table,Category Member,Daily Life,0.67
1861,cleaner,housekeeper,Profession,Daily Life,0.57
1862,teach,instruct,Action,Education,0.58
1863,official,referee,Profession,Sports,0.44
1864,researcher,scientist,Profession,Science,0.41
1865,morning,evening,Antonym,Daily Life,0.23
1866,deploy,launch,Action,Technology,0.57
1867,university,degree,Related Concept,Education,0.63
1868,clean,tidy,Action,Daily Life,0.46
1869,soccer,ball,Object,Sports,0.5
1870,study,review,Action,Education,0.4
1871,public,private,Antonym,Technology,0.13
1872,public,private,Antonym,Technology,0.18
1873,naturalist,biologist,Profession,Nature,0.54
1874,developer,coder,Profession,Technology,0.46
1875,computer,keyboard,Object,Technology,0.53
1876,exam,grading,Related Concept,Education,0.45
1877,subject,mathematics,Category Member,Education,0.63
1878,exam,test,Synonym,Education,0.92
1879,victory,win,Synonym,Sports,0.83
1880,ranger,conservationist,Profession,Nature,0.44
1881,ocean,coral reef,Related Concept,Nature,0.46
1882,tree,oak,Category Member,Nature,0.62
1883,team,squad,Synonym,Sports,0.9
1884,appliance,microwave,Category Member,Daily Life,0.51
1885,erode,wear,Action,Nature,0.54
1886,athlete,runner,Profession,Sports,0.55
1887,market,town square,Location,Daily Life,0.51
1888,executive,director,Profession,Business,0.51
1889,awake,asleep,Antonym,Daily Life,0.19
1890,hypothesis,theory,Synonym,Science,0.85
1891,planet,earth,Category Member,Science,0.55
1892,browser,tab,Related Concept,Technology,0.65
1893,lab,microscope,Object,Science,0.37
1894,server,data center,Location,Technology,0.53
1895,import,export,Antonym,Business,0.22
1896,gadget,smartwatch,Category Member,Technology,0.62
1897,compile,build,Action,Technology,0.53
1898,athlete,player,Profession,Sports,0.54
1899,secure,vulnerable,Antonym,Technology,0.14
1900,day,night,Antonym,Nature,0.23
1901,hardware,keyboard,Category Member,Technology,0.53
1902,river,ecosystem,Related Concept,Nature,0.64
1903,appliance,microwave,Category Member,Daily Life,0.6
1904,coach,trainer,Synonym,Sports,0.83
1905,animal,deer,Category Member,Nature,0.59
1906,phone,charger,Object,Technology,0.42
1907,official,umpire,Profession,Sports,0.44
1908,desert,drought,Related Concept,Nature,0.6
1909,profit,earnings,Synonym,Business,0.8
1910,observe,record,Action,Science,0.44
1911,compete,play,Action,Sports,0.51
1912,researcher,physicist,Profession,Science,0.6
1913,swimming,pool,Location,Sports,0.47
1914,network,internet,Synonym,Technology,0.89
1915,cyclist,bicycle,Object,Sports,0.38
1916,official,referee,Profession,Sports,0.41
1917,computer,laptop,Synonym,Technology,0.91
1918,hire,recruit,Action,Business,0.41
1919,device,tablet,Category Member,Technology,0.57
1920,boxer,gloves,Object,Sports,0.39
1921,animal,fox,Category Member,Nature,0.61
1922,lab,research center,Location,Technology,0.43
1923,instrument,telescope,Category Member,Science,0.69
1924,astronomy,galaxy,Related Concept,Science,0.63
1925,computer,keyboard,Object,Technology,0.38
1926,study,review,Action,Education,0.42
1927,bedroom,pillow,Object,Daily Life,0.43
1928,student,pupil,Synonym,Education,0.92
1929,astronomy,observatory,Location,Science,0.5
1930,forest,wildlife,Related Concept,Nature,0.61
1931,accurate,inaccurate,Antonym,Science,0.24
1932,computer,keyboard,Object,Technology,0.52
1933,import,export,Antonym,Business,0.1
1934,office,desk,Object,Business,0.53
1935,install,setup,Action,Technology,0.48
1936,athlete,runner,Profession,Sports,0.52
1937,coach,mentor,Action,Sports,0.54
1938,victory,win,Synonym,Sports,0.93
1939,basketball,court,Related Concept,Sports,0.5
1940,developer,coder,Profession,Technology,0.52
1941,fast,slow,Antonym,Technology,0.13
1942,fast,quick,Synonym,Technology,0.89
1943,educator,professor,Profession,Education,0.5
1944,role,analyst,Category Member,Business,0.51
1945,athlete,runner,Profession,Sports,0.42
1946,discovery,finding,Synonym,Science,0.81
1947,study,review,Action,Education,0.52
1948,network,internet,Synonym,Technology,0.8
1949,fish,pond,Object,Nature,0.41
1950,teacher,chalkboard,Object,Education,0.43
1951,beginner,expert,Antonym,Education,0.27
1952,profit,loss,Antonym,Business,0.26
1953,river,valley,Location,Nature,0.45
1954,astronomer,telescope,Object,Science,0.52
1955,secure,protected,Synonym,Technology,0.89
1956,smart,intelligent,Synonym,Technology,0.82
1957,kitchen,stove,Object,Daily Life,0.46
1958,software,app,Category Member,Technology,0.56
1959,experiment,trial,Synonym,Science,0.83
1960,study,review,Action,Education,0.51
1961,lab,beaker,Object,Science,0.55
1962,ranger,conservationist,Profession,Nature,0.42
1963,astronomer,telescope,Object,Science,0.51
