id,sentence_1,sentence_2,similarity_score,similarity_label,relationship
1177,Sources confirmed that the volunteers cleaned up litter along the riverbank last weekend.,"Notably, litter along the riverbank was cleared by volunteers last weekend.",0.9,Very High,Same Meaning
1178,It was noted that a moving tribute to the late composer was performed by the orchestra.,"As widely reported, the orchestra honored the late composer with an emotional performance.",0.8,High,Paraphrase
1179,"According to the report, the factory upgraded its equipment to reduce energy consumption.",The factory's energy consumption rose after the equipment failed.,0.26,Low,Contradiction
1180,A new exhibit about ancient civilizations opened at the museum.,It was noted that the volunteers cleaned up litter along the riverbank last weekend.,0.09,Very Low,Unrelated
1181,"According to the report, the hikers reached the summit just before sunset.",The hikers reached the summit just before sunset.,0.83,High,Paraphrase
1182,"This spring, the novelist's long-awaited sequel finally arrived.",The novelist postponed the release of her sequel indefinitely.,0.27,Low,Contradiction
1183,"As widely reported, the bakery introduced a new line of gluten-free pastries.",It was noted that the bakery introduced a new line of gluten-free pastries.,0.75,High,Paraphrase
1184,The hospital opened a new wing dedicated to pediatric care.,Sources confirmed that a new pediatric care wing was opened at the hospital.,0.87,High,Paraphrase
1185,It was noted that the bakery started offering gluten-free pastries as a new product line.,"Notably, the bakery discontinued its gluten-free pastry line due to low demand.",0.17,Low,Contradiction
1186,"As widely reported, the bakery introduced a new line of gluten-free pastries.",The bakery started offering gluten-free pastries as a new product line.,0.76,High,Paraphrase
1187,It was noted that the research team released a major study about renewable energy.,"According to the report, the university received a large grant to fund further energy research.",0.48,Medium,Related
1188,"According to the report, the hikers reached the summit just before sunset.","According to the report, the city council approved funding for a new public park.",0.11,Very Low,Unrelated
1189,"As widely reported, the scientists published groundbreaking research on renewable energy.",It was noted that the research team released a major study about renewable energy.,0.8,High,Paraphrase
1190,"According to the report, the bakery introduced a new line of gluten-free pastries.","According to the report, customers have praised the bakery's friendly staff and cozy atmosphere.",0.55,Medium,Related
1191,It was noted that a new pediatric care wing was opened at the hospital.,"Notably, the hospital opened a new wing dedicated to pediatric care.",0.97,Very High,Same Meaning
1192,It was noted that groundbreaking research on renewable energy was published by the scientists.,"Notably, groundbreaking research on renewable energy was published by the scientists.",0.9,Very High,Same Meaning
1193,Sources confirmed that the orchestra performed a moving tribute to the late composer.,Sources confirmed that the orchestra honored the late composer with an emotional performance.,0.85,High,Paraphrase
1194,"As widely reported, due to bad weather, the airline had to cancel a number of flights.","According to the report, passengers were offered vouchers for future travel after the disruption.",0.51,Medium,Related
1195,"According to the report, due to bad weather, the airline had to cancel a number of flights.",The airline operated all its flights on schedule despite the storm.,0.29,Low,Contradiction
1196,Sources confirmed that a delicious meal was made by the chef for the guests.,"Notably, the restaurant received great reviews for its outstanding service.",0.62,Medium,Related
1197,The students studied hard for their final exams.,"Notably, the teacher offered extra review sessions before the exam period.",0.64,Medium,Related
1198,It was noted that the novelist released her long-awaited sequel this spring.,Sources confirmed that the novelist released her long-awaited sequel this spring.,0.91,Very High,Same Meaning
1199,"Notably, the championship was won by the soccer team in a thrilling final match.","As widely reported, the students studied hard for their final exams.",0.03,Very Low,Unrelated
1200,"Sources confirmed that to cut down on traffic, the city introduced a bike-sharing program.",Cyclists reported feeling safer thanks to new dedicated bike lanes.,0.5,Medium,Related
1201,Sources confirmed that the city council approved funding for a new public park.,It was noted that local residents have long requested more green spaces downtown.,0.56,Medium,Related
1202,It was noted that a new gluten-free pastry line was launched by the bakery.,Sources confirmed that the bakery started offering gluten-free pastries as a new product line.,0.84,High,Paraphrase
1203,The volunteers cleaned up litter along the riverbank last weekend.,"Notably, the volunteers cleaned up litter along the riverbank last weekend.",0.91,Very High,Same Meaning
1204,"As widely reported, the hikers reached the summit just before sunset.","It was noted that just before sunset, the hikers arrived at the summit.",0.78,High,Paraphrase
1205,The bakery started offering gluten-free pastries as a new product line.,Sources confirmed that cyclists reported feeling safer thanks to new dedicated bike lanes.,0.13,Very Low,Unrelated
1206,"As widely reported, the city council approved funding for a new public park.","According to the report, the new smartphone features a significantly improved camera.",0.07,Very Low,Unrelated
1207,The city launched a bike-sharing program to reduce traffic congestion.,"Notably, the city launched a bike-sharing program to reduce traffic congestion.",0.91,Very High,Same Meaning
1208,"Notably, the film received widespread critical acclaim upon release.","According to the report, the lead actor won several awards for the role.",0.55,Medium,Related
1209,"As widely reported, the airline canceled several flights due to bad weather.","As widely reported, this quarter, the company reported record breaking profits.",0.08,Very Low,Unrelated
1210,"According to the report, to cut down on traffic, the city introduced a bike-sharing program.","Notably, cyclists reported feeling safer thanks to new dedicated bike lanes.",0.45,Medium,Related
1211,It was noted that a new gluten-free pastry line was launched by the bakery.,It was noted that the bakery discontinued its gluten-free pastry line due to low demand.,0.25,Low,Contradiction
1212,"Notably, a new exhibit about ancient civilizations opened at the museum.",It was noted that the museum unveiled a new exhibit on ancient civilizations.,0.83,High,Paraphrase
1213,The guests were served a tasty meal that the chef had cooked.,Sources confirmed that the restaurant received great reviews for its outstanding service.,0.46,Medium,Related
1214,"As widely reported, farmers can now use the startup's app to track soil health.",The group of hikers made it to the top right before the sun went down.,0.09,Very Low,Unrelated
1215,"Upon its release, the film was widely praised by critics.","According to the report, a bike-sharing program was launched by the city to ease traffic congestion.",0.14,Very Low,Unrelated
1216,"Notably, a much better camera is one of the new smartphone's key features.",The new smartphone's camera quality is worse than the previous model.,0.24,Low,Contradiction
1217,"As widely reported, for their final exams, the students prepared diligently.",Sources confirmed that the students studied hard for their final exams.,0.98,Very High,Same Meaning
1218,New equipment was installed at the factory to cut energy use.,"Notably, new equipment was installed at the factory to cut energy use.",0.81,High,Paraphrase
1219,Sources confirmed that the bakery started offering gluten-free pastries as a new product line.,"According to the report, a new gluten-free pastry line was launched by the bakery.",0.75,High,Paraphrase
1220,Sources confirmed that the new smartphone features a significantly improved camera.,"Notably, the orchestra performed a moving tribute to the late composer.",0.1,Very Low,Unrelated
1221,"Notably, the championship was won by the soccer team in a thrilling final match.",The book tour will include stops in several major cities.,0.08,Very Low,Unrelated
1222,"Notably, the guests were served a tasty meal that the chef had cooked.","As widely reported, the restaurant received great reviews for its outstanding service.",0.62,Medium,Related
1223,"Notably, the hospital's new wing focuses on caring for young patients.","As widely reported, donors contributed generously to fund the hospital's expansion.",0.54,Medium,Related
1224,"Notably, groundbreaking research on renewable energy was published by the scientists.","According to the report, the university received a large grant to fund further energy research.",0.53,Medium,Related
1225,It was noted that a new gluten-free pastry line was launched by the bakery.,"As widely reported, the lead actor won several awards for the role.",0.06,Very Low,Unrelated
1226,"As widely reported, the novelist released her long-awaited sequel this spring.",It was noted that fans welcomed the release of the novelist's sequel this spring.,0.88,High,Paraphrase
1227,"According to the report, the soccer team won the championship after a dramatic final.",Sources confirmed that the championship was won by the soccer team in a thrilling final match.,0.91,Very High,Same Meaning
1228,"Notably, the group of hikers made it to the top right before the sun went down.","As widely reported, the trail offered stunning views of the surrounding valley.",0.64,Medium,Related
1229,It was noted that groundbreaking research on renewable energy was published by the scientists.,"According to the report, the scientists published groundbreaking research on renewable energy.",0.76,High,Paraphrase
1230,"As widely reported, a new gluten-free pastry line was launched by the bakery.","Notably, the bakery introduced a new line of gluten-free pastries.",0.98,Very High,Same Meaning
1231,Sources confirmed that an app for monitoring soil health was created by the startup for farmers.,"As widely reported, the startup's soil monitoring app was found to be unreliable.",0.24,Low,Contradiction
1232,It was noted that a new gluten-free pastry line was launched by the bakery.,"It was noted that just before sunset, the hikers arrived at the summit.",0.04,Very Low,Unrelated
1233,Sources confirmed that the factory upgraded its equipment to reduce energy consumption.,"Notably, the upgrade is expected to lower operating costs significantly.",0.65,Medium,Related
1234,"According to the report, a new pediatric care wing was opened at the hospital.",Sources confirmed that passengers were offered vouchers for future travel after the disruption.,0.06,Very Low,Unrelated
1235,"According to the report, the students studied hard for their final exams.","As widely reported, the students studied hard for their final exams.",0.95,Very High,Same Meaning
1236,Sources confirmed that the students put in a lot of effort studying for finals.,"As widely reported, the students studied hard for their final exams.",0.82,High,Paraphrase
1237,Sources confirmed that the factory's energy consumption dropped after an equipment upgrade.,It was noted that the bakery started offering gluten-free pastries as a new product line.,0.07,Very Low,Unrelated
1238,It was noted that the scientists published groundbreaking research on renewable energy.,"Notably, the research team released a major study about renewable energy.",0.78,High,Paraphrase
1239,A much better camera is one of the new smartphone's key features.,"As widely reported, a much better camera is one of the new smartphone's key features.",0.93,Very High,Same Meaning
1240,"Notably, litter along the riverbank was cleared by volunteers last weekend.","It was noted that last weekend, volunteers spent hours removing litter from the riverbank.",0.97,Very High,Same Meaning
1241,It was noted that the city council approved funding for a new public park.,"According to the report, funding for a new public park was approved by the city council.",0.98,Very High,Same Meaning
1242,Sources confirmed that the startup developed an app that helps farmers monitor soil health.,"As widely reported, farmers can now use the startup's app to track soil health.",0.86,High,Paraphrase
1243,The research team released a major study about renewable energy.,"Notably, groundbreaking research on renewable energy was published by the scientists.",0.82,High,Paraphrase
1244,It was noted that fans welcomed the release of the novelist's sequel this spring.,"As widely reported, the novelist postponed the release of her sequel indefinitely.",0.21,Low,Contradiction
1245,"Notably, the students studied hard for their final exams.","Notably, for their final exams, the students prepared diligently.",0.96,Very High,Same Meaning
1246,Sources confirmed that the film received widespread critical acclaim upon release.,"According to the report, the lead actor won several awards for the role.",0.63,Medium,Related
1247,"Notably, groundbreaking research on renewable energy was published by the scientists.","Notably, the new smartphone features a significantly improved camera.",0.12,Very Low,Unrelated
1248,"As widely reported, the students put in a lot of effort studying for finals.","According to the report, the students studied hard for their final exams.",0.9,Very High,Same Meaning
1249,It was noted that a new pediatric care wing was opened at the hospital.,Sources confirmed that the hospital closed its pediatric care wing due to budget cuts.,0.2,Low,Contradiction
1250,Sources confirmed that several flights were canceled by the airline because of poor weather conditions.,"Sources confirmed that due to bad weather, the airline had to cancel a number of flights.",0.96,Very High,Same Meaning
1251,"As widely reported, the students studied hard for their final exams.",Sources confirmed that the teacher offered extra review sessions before the exam period.,0.47,Medium,Related
1252,"Notably, the bakery started offering gluten-free pastries as a new product line.","According to the report, the bakery discontinued its gluten-free pastry line due to low demand.",0.19,Low,Contradiction
1253,"As widely reported, just before sunset, the hikers arrived at the summit.","Notably, the council voted to fund the construction of a new public park.",0.04,Very Low,Unrelated
1254,"As widely reported, the group of hikers made it to the top right before the sun went down.","As widely reported, the lead actor won several awards for the role.",0.1,Very Low,Unrelated
1255,"Notably, a much better camera is one of the new smartphone's key features.","Notably, the new smartphone's camera quality is worse than the previous model.",0.25,Low,Contradiction
1256,The hospital opened a new wing dedicated to pediatric care.,"As widely reported, the hospital opened a new wing dedicated to pediatric care.",0.96,Very High,Same Meaning
1257,"Notably, the council voted to fund the construction of a new public park.","Notably, the new smartphone features a significantly improved camera.",0.08,Very Low,Unrelated
1258,"Notably, the new smartphone features a significantly improved camera.","According to the report, the smartphone's camera has been greatly improved in this new version.",0.94,Very High,Same Meaning
1259,"As widely reported, the hikers reached the summit just before sunset.","As widely reported, the group of hikers made it to the top right before the sun went down.",0.89,High,Paraphrase
1260,"According to the report, a new gluten-free pastry line was launched by the bakery.",Sources confirmed that the bakery started offering gluten-free pastries as a new product line.,0.81,High,Paraphrase
1261,"According to the report, last weekend, volunteers spent hours removing litter from the riverbank.","It was noted that this quarter, the company reported record breaking profits.",0.09,Very Low,Unrelated
1262,"As widely reported, the group of hikers made it to the top right before the sun went down.","Notably, just before sunset, the hikers arrived at the summit.",0.81,High,Paraphrase
1263,The research team released a major study about renewable energy.,It was noted that groundbreaking research on renewable energy was published by the scientists.,0.82,High,Paraphrase
1264,"It was noted that upon its release, the film was widely praised by critics.","As widely reported, the film was widely panned by critics upon release.",0.22,Low,Contradiction
1265,It was noted that the orchestra honored the late composer with an emotional performance.,A moving tribute to the late composer was performed by the orchestra.,0.76,High,Paraphrase
1266,"Notably, the bakery introduced a new line of gluten-free pastries.","Notably, the bakery discontinued its gluten-free pastry line due to low demand.",0.16,Low,Contradiction
1267,"Sources confirmed that upon its release, the film was widely praised by critics.","Upon its release, the film was widely praised by critics.",0.94,Very High,Same Meaning
1268,A new exhibit about ancient civilizations opened at the museum.,Sources confirmed that the soccer team won the championship after a dramatic final.,0.01,Very Low,Unrelated
1269,"According to the report, this quarter, the company reported record breaking profits.","As widely reported, this quarter, the company reported record breaking profits.",0.89,High,Paraphrase
1270,Sources confirmed that the championship was won by the soccer team in a thrilling final match.,"According to the report, the orchestra performed a moving tribute to the late composer.",0.07,Very Low,Unrelated
1271,"According to the report, the bakery introduced a new line of gluten-free pastries.",Sources confirmed that customers have praised the bakery's friendly staff and cozy atmosphere.,0.51,Medium,Related
1272,"Last weekend, volunteers spent hours removing litter from the riverbank.",Litter along the riverbank was cleared by volunteers last weekend.,0.93,Very High,Same Meaning
1273,Sources confirmed that new equipment was installed at the factory to cut energy use.,It was noted that the factory's energy consumption dropped after an equipment upgrade.,0.89,High,Paraphrase
1274,"Notably, a bike-sharing program was launched by the city to ease traffic congestion.","As widely reported, the city council approved funding for a new public park.",0.1,Very Low,Unrelated
1275,It was noted that several flights were canceled by the airline because of poor weather conditions.,"According to the report, passengers were offered vouchers for future travel after the disruption.",0.45,Medium,Related
1276,"Notably, upon its release, the film was widely praised by critics.",The lead actor won several awards for the role.,0.51,Medium,Related
1277,A new exhibit about ancient civilizations opened at the museum.,It was noted that the council voted to fund the construction of a new public park.,0.13,Very Low,Unrelated
1278,"Notably, new equipment was installed at the factory to cut energy use.","As widely reported, the upgrade is expected to lower operating costs significantly.",0.6,Medium,Related
1279,"It was noted that to cut down on traffic, the city introduced a bike-sharing program.","According to the report, the airline canceled several flights due to bad weather.",0.11,Very Low,Unrelated
1280,"Notably, a new gluten-free pastry line was launched by the bakery.","As widely reported, the bakery introduced a new line of gluten-free pastries.",0.97,Very High,Same Meaning
1281,"According to the report, an app for monitoring soil health was created by the startup for farmers.",Sources confirmed that the startup's soil monitoring app was found to be unreliable.,0.26,Low,Contradiction
1282,Sources confirmed that fans welcomed the release of the novelist's sequel this spring.,"Notably, fans welcomed the release of the novelist's sequel this spring.",0.75,High,Paraphrase
1283,"According to the report, the smartphone's camera has been greatly improved in this new version.","As widely reported, thousands of fans celebrated in the streets after the victory.",0.01,Very Low,Unrelated
1284,"Notably, the museum unveiled a new exhibit on ancient civilizations.",It was noted that the museum unveiled a new exhibit on ancient civilizations.,0.93,Very High,Same Meaning
1285,"Notably, the film received widespread critical acclaim upon release.","According to the report, the film was widely panned by critics upon release.",0.21,Low,Contradiction
1286,"Sources confirmed that upon its release, the film was widely praised by critics.","As widely reported, a moving tribute to the late composer was performed by the orchestra.",0.05,Very Low,Unrelated
1287,Sources confirmed that a new gluten-free pastry line was launched by the bakery.,The bakery discontinued its gluten-free pastry line due to low demand.,0.24,Low,Contradiction
1288,"Notably, last weekend, volunteers spent hours removing litter from the riverbank.",Sources confirmed that the volunteers cleaned up litter along the riverbank last weekend.,0.84,High,Paraphrase
1289,Sources confirmed that the museum's latest exhibit focuses on ancient civilizations.,It was noted that the museum closed its ancient civilizations exhibit permanently.,0.18,Low,Contradiction
1290,"According to the report, the research team released a major study about renewable energy.","According to the report, groundbreaking research on renewable energy was published by the scientists.",0.81,High,Paraphrase
1291,"Sources confirmed that after a dramatic final, the soccer team claimed the championship title.","According to the report, the soccer team lost the championship in a disappointing final.",0.19,Low,Contradiction
1292,Sources confirmed that the orchestra performed a moving tribute to the late composer.,A moving tribute to the late composer was performed by the orchestra.,0.78,High,Paraphrase
1293,The company announced record profits this quarter.,"According to the report, the airline canceled several flights due to bad weather.",0.08,Very Low,Unrelated
1294,The scientists published groundbreaking research on renewable energy.,The university received a large grant to fund further energy research.,0.54,Medium,Related
1295,"According to the report, funding for a new public park was approved by the city council.","As widely reported, funding for a new public park was approved by the city council.",0.75,High,Paraphrase
1296,"Notably, the students studied hard for their final exams.","According to the report, the students barely studied and skipped most of their classes.",0.29,Low,Contradiction
1297,"As widely reported, for their final exams, the students prepared diligently.",Sources confirmed that the teacher offered extra review sessions before the exam period.,0.54,Medium,Related
1298,"According to the report, the hikers reached the summit just before sunset.",Sources confirmed that the hikers reached the summit just before sunset.,0.85,High,Paraphrase
1299,"Notably, the factory upgraded its equipment to reduce energy consumption.","According to the report, the factory upgraded its equipment to reduce energy consumption.",0.84,High,Paraphrase
1300,The hospital's new wing focuses on caring for young patients.,Sources confirmed that a new pediatric care wing was opened at the hospital.,0.84,High,Paraphrase
1301,"As widely reported, the orchestra honored the late composer with an emotional performance.",It was noted that the orchestra performed a moving tribute to the late composer.,0.76,High,Paraphrase
1302,"According to the report, the airline canceled several flights due to bad weather.","Notably, the airline operated all its flights on schedule despite the storm.",0.21,Low,Contradiction
1303,Sources confirmed that the group of hikers made it to the top right before the sun went down.,Sources confirmed that the restaurant received great reviews for its outstanding service.,0.04,Very Low,Unrelated
1304,"Notably, the hikers reached the summit just before sunset.","Just before sunset, the hikers arrived at the summit.",0.8,High,Paraphrase
1305,Critics gave the film glowing reviews when it came out.,"As widely reported, the guests were served a tasty meal that the chef had cooked.",0.09,Very Low,Unrelated
1306,Sources confirmed that the smartphone's camera has been greatly improved in this new version.,"As widely reported, the smartphone's camera has been greatly improved in this new version.",0.78,High,Paraphrase
1307,"As widely reported, the research team released a major study about renewable energy.","Notably, passengers were offered vouchers for future travel after the disruption.",0.11,Very Low,Unrelated
1308,"According to the report, the hospital's new wing focuses on caring for young patients.","According to the report, donors contributed generously to fund the hospital's expansion.",0.63,Medium,Related
1309,"According to the report, litter along the riverbank was cleared by volunteers last weekend.",The volunteers cleaned up litter along the riverbank last weekend.,0.96,Very High,Same Meaning
1310,"It was noted that this spring, the novelist's long-awaited sequel finally arrived.",Sources confirmed that the novelist postponed the release of her sequel indefinitely.,0.18,Low,Contradiction
1311,"According to the report, the volunteers cleaned up litter along the riverbank last weekend.","Notably, last weekend, volunteers spent hours removing litter from the riverbank.",0.92,Very High,Same Meaning
1312,"It was noted that for their final exams, the students prepared diligently.",Sources confirmed that the students barely studied and skipped most of their classes.,0.29,Low,Contradiction
1313,"As widely reported, new equipment was installed at the factory to cut energy use.",It was noted that a new pediatric care wing was opened at the hospital.,0.11,Very Low,Unrelated
1314,Sources confirmed that the museum unveiled a new exhibit on ancient civilizations.,"As widely reported, a new exhibit about ancient civilizations opened at the museum.",0.98,Very High,Same Meaning
1315,"According to the report, the startup developed an app that helps farmers monitor soil health.",Agricultural experts praised the app's accuracy in the field.,0.57,Medium,Related
1316,Sources confirmed that a new exhibit about ancient civilizations opened at the museum.,"According to the report, the trail offered stunning views of the surrounding valley.",0.05,Very Low,Unrelated
1317,"As widely reported, the bakery introduced a new line of gluten-free pastries.","As widely reported, the bakery started offering gluten-free pastries as a new product line.",0.86,High,Paraphrase
1318,The museum's latest exhibit focuses on ancient civilizations.,"As widely reported, the museum unveiled a new exhibit on ancient civilizations.",0.95,Very High,Same Meaning
1319,"Notably, a new exhibit about ancient civilizations opened at the museum.",Sources confirmed that the museum closed its ancient civilizations exhibit permanently.,0.21,Low,Contradiction
1320,"Notably, the hikers reached the summit just before sunset.","According to the report, just before sunset, the hikers arrived at the summit.",0.82,High,Paraphrase
1321,Sources confirmed that the volunteers cleaned up litter along the riverbank last weekend.,The event was organized by a local environmental group.,0.65,Medium,Related
1322,"As widely reported, the orchestra performed a moving tribute to the late composer.","According to the report, the orchestra performed a moving tribute to the late composer.",0.85,High,Paraphrase
1323,Sources confirmed that the factory's energy consumption dropped after an equipment upgrade.,It was noted that new equipment was installed at the factory to cut energy use.,0.75,High,Paraphrase
1324,"As widely reported, groundbreaking research on renewable energy was published by the scientists.",Sources confirmed that the university received a large grant to fund further energy research.,0.65,Medium,Related
1325,"Sources confirmed that just before sunset, the hikers arrived at the summit.","Just before sunset, the hikers arrived at the summit.",0.78,High,Paraphrase
1326,It was noted that the council voted to fund the construction of a new public park.,Sources confirmed that funding for a new public park was approved by the city council.,0.76,High,Paraphrase
1327,"According to the report, the students put in a lot of effort studying for finals.","As widely reported, for their final exams, the students prepared diligently.",0.79,High,Paraphrase
1328,"According to the report, fans welcomed the release of the novelist's sequel this spring.","According to the report, the novelist released her long-awaited sequel this spring.",0.78,High,Paraphrase
1329,"According to the report, the novelist released her long-awaited sequel this spring.",Sources confirmed that the book tour will include stops in several major cities.,0.52,Medium,Related
1330,"Notably, the volunteers cleaned up litter along the riverbank last weekend.",Sources confirmed that litter along the riverbank was cleared by volunteers last weekend.,0.77,High,Paraphrase
1331,"It was noted that to cut down on traffic, the city introduced a bike-sharing program.",The city shut down its bike-sharing program after low usage.,0.19,Low,Contradiction
1332,"As widely reported, the city council approved funding for a new public park.",It was noted that the city council approved funding for a new public park.,0.93,Very High,Same Meaning
1333,The soccer team won the championship after a dramatic final.,"Sources confirmed that this spring, the novelist's long-awaited sequel finally arrived.",0.06,Very Low,Unrelated
1334,"According to the report, fans welcomed the release of the novelist's sequel this spring.","Notably, record profits were announced by the company for the current quarter.",0.01,Very Low,Unrelated
1335,"Notably, a bike-sharing program was launched by the city to ease traffic congestion.",It was noted that the guests were served a tasty meal that the chef had cooked.,0.11,Very Low,Unrelated
1336,It was noted that the smartphone's camera has been greatly improved in this new version.,"Notably, the smartphone's camera has been greatly improved in this new version.",0.95,Very High,Same Meaning
1337,Farmers can now use the startup's app to track soil health.,It was noted that the hikers reached the summit just before sunset.,0.04,Very Low,Unrelated
1338,Sources confirmed that the orchestra honored the late composer with an emotional performance.,"As widely reported, a moving tribute to the late composer was performed by the orchestra.",0.97,Very High,Same Meaning
1339,"As widely reported, the group of hikers made it to the top right before the sun went down.",The trail offered stunning views of the surrounding valley.,0.47,Medium,Related
1340,"Sources confirmed that just before sunset, the hikers arrived at the summit.",The hikers reached the summit just before sunset.,0.76,High,Paraphrase
1341,"Notably, the city council approved funding for a new public park.",It was noted that funding for a new public park was approved by the city council.,0.93,Very High,Same Meaning
1342,It was noted that the city council approved funding for a new public park.,It was noted that funding for a new public park was approved by the city council.,0.95,Very High,Same Meaning
1343,"According to the report, the soccer team won the championship after a dramatic final.",Groundbreaking research on renewable energy was published by the scientists.,0.13,Very Low,Unrelated
1344,"Notably, the research team released a major study about renewable energy.",Sources confirmed that the bakery started offering gluten-free pastries as a new product line.,0.02,Very Low,Unrelated
1345,"As widely reported, the novelist released her long-awaited sequel this spring.","Notably, the book tour will include stops in several major cities.",0.46,Medium,Related
1346,"Notably, the research team released a major study about renewable energy.",Groundbreaking research on renewable energy was published by the scientists.,0.92,Very High,Same Meaning
1347,The airline canceled several flights due to bad weather.,"Notably, passengers were offered vouchers for future travel after the disruption.",0.63,Medium,Related
1348,Sources confirmed that the new smartphone features a significantly improved camera.,Reviewers praised the phone's battery life and sleek design.,0.56,Medium,Related
1349,"According to the report, fans welcomed the release of the novelist's sequel this spring.","Sources confirmed that this spring, the novelist's long-awaited sequel finally arrived.",0.93,Very High,Same Meaning
1350,"As widely reported, the airline canceled several flights due to bad weather.","Notably, an app for monitoring soil health was created by the startup for farmers.",0.01,Very Low,Unrelated
1351,"As widely reported, for their final exams, the students prepared diligently.","As widely reported, the students studied hard for their final exams.",0.84,High,Paraphrase
1352,"As widely reported, the airline canceled several flights due to bad weather.","According to the report, due to bad weather, the airline had to cancel a number of flights.",0.78,High,Paraphrase
1353,"After a dramatic final, the soccer team claimed the championship title.",Sources confirmed that the soccer team won the championship after a dramatic final.,0.98,Very High,Same Meaning
1354,"Sources confirmed that upon its release, the film was widely praised by critics.","As widely reported, farmers can now use the startup's app to track soil health.",0.12,Very Low,Unrelated
1355,A new gluten-free pastry line was launched by the bakery.,It was noted that the bakery introduced a new line of gluten-free pastries.,0.78,High,Paraphrase
1356,"According to the report, the bakery started offering gluten-free pastries as a new product line.","As widely reported, fans welcomed the release of the novelist's sequel this spring.",0.08,Very Low,Unrelated
1357,"According to the report, a moving tribute to the late composer was performed by the orchestra.",It was noted that the orchestra performed a moving tribute to the late composer.,0.79,High,Paraphrase
1358,"Notably, the factory's energy consumption dropped after an equipment upgrade.","According to the report, the factory upgraded its equipment to reduce energy consumption.",0.77,High,Paraphrase
1359,The film received widespread critical acclaim upon release.,Sources confirmed that critics gave the film glowing reviews when it came out.,0.94,Very High,Same Meaning
1360,The smartphone's camera has been greatly improved in this new version.,A new gluten-free pastry line was launched by the bakery.,0.06,Very Low,Unrelated
1361,"As widely reported, the volunteers cleaned up litter along the riverbank last weekend.","According to the report, the event was organized by a local environmental group.",0.61,Medium,Related
1362,"According to the report, a moving tribute to the late composer was performed by the orchestra.","According to the report, the orchestra performed a moving tribute to the late composer.",0.76,High,Paraphrase
1363,"According to the report, the guests were served a tasty meal that the chef had cooked.","Notably, a delicious meal was made by the chef for the guests.",0.76,High,Paraphrase
1364,"Notably, last weekend, volunteers spent hours removing litter from the riverbank.","According to the report, litter along the riverbank was cleared by volunteers last weekend.",0.84,High,Paraphrase
1365,"Notably, the film received widespread critical acclaim upon release.",It was noted that the lead actor won several awards for the role.,0.52,Medium,Related
1366,"As widely reported, farmers can now use the startup's app to track soil health.","Upon its release, the film was widely praised by critics.",0.1,Very Low,Unrelated
1367,"Notably, the bakery started offering gluten-free pastries as a new product line.","Notably, a new gluten-free pastry line was launched by the bakery.",0.87,High,Paraphrase
1368,"Notably, the museum's latest exhibit focuses on ancient civilizations.",Sources confirmed that the museum closed its ancient civilizations exhibit permanently.,0.34,Low,Contradiction
1369,"According to the report, for their final exams, the students prepared diligently.",The teacher offered extra review sessions before the exam period.,0.52,Medium,Related
1370,"As widely reported, the hikers reached the summit just before sunset.",The hikers reached the summit just before sunset.,0.88,High,Paraphrase
1371,A new exhibit about ancient civilizations opened at the museum.,"According to the report, visitors can attend guided tours of the museum every weekend.",0.54,Medium,Related
1372,"According to the report, the research team released a major study about renewable energy.",The research team released a major study about renewable energy.,0.88,High,Paraphrase
1373,It was noted that the orchestra honored the late composer with an emotional performance.,"As widely reported, a moving tribute to the late composer was performed by the orchestra.",0.78,High,Paraphrase
1374,"Sources confirmed that due to bad weather, the airline had to cancel a number of flights.",The airline canceled several flights due to bad weather.,0.8,High,Paraphrase
1375,"According to the report, the championship was won by the soccer team in a thrilling final match.","As widely reported, the soccer team won the championship after a dramatic final.",0.95,Very High,Same Meaning
1376,"As widely reported, groundbreaking research on renewable energy was published by the scientists.",The university received a large grant to fund further energy research.,0.61,Medium,Related
1377,It was noted that the students studied hard for their final exams.,"Notably, farmers can now use the startup's app to track soil health.",0.01,Very Low,Unrelated
1378,"Notably, critics gave the film glowing reviews when it came out.","According to the report, upon its release, the film was widely praised by critics.",0.97,Very High,Same Meaning
1379,The orchestra honored the late composer with an emotional performance.,The orchestra canceled its planned tribute to the composer.,0.33,Low,Contradiction
1380,"As widely reported, a delicious meal was made by the chef for the guests.",The restaurant received great reviews for its outstanding service.,0.46,Medium,Related
1381,"As widely reported, upon its release, the film was widely praised by critics.",It was noted that the research team released a major study about renewable energy.,0.1,Very Low,Unrelated
1382,It was noted that the city launched a bike-sharing program to reduce traffic congestion.,Sources confirmed that a bike-sharing program was launched by the city to ease traffic congestion.,0.9,Very High,Same Meaning
1383,The factory upgraded its equipment to reduce energy consumption.,"Notably, the upgrade is expected to lower operating costs significantly.",0.62,Medium,Related
1384,"As widely reported, the bakery introduced a new line of gluten-free pastries.",It was noted that customers have praised the bakery's friendly staff and cozy atmosphere.,0.51,Medium,Related
1385,Sources confirmed that litter along the riverbank was cleared by volunteers last weekend.,It was noted that the event was organized by a local environmental group.,0.56,Medium,Related
1386,"According to the report, a delicious meal was made by the chef for the guests.","As widely reported, due to bad weather, the airline had to cancel a number of flights.",0.1,Very Low,Unrelated
1387,"Notably, the airline canceled several flights due to bad weather.",Several flights were canceled by the airline because of poor weather conditions.,0.93,Very High,Same Meaning
