id,text,task,input_type,expected_output,difficulty
965,"As an example, The city's new bike-sharing program has already logged tens of thousands of rides in its first month, with officials crediting expanded lanes and lower fares for the early success.",Text Summarization,Paragraph,City's new bike-sharing program sees strong early adoption.,Advanced
966,Task input: The tourism board launched a campaign promoting off-season visits.,Text Classification,Single Sentence,Travel,Intermediate
967,Task input: Adaeze Scott joined Global Trade Partners in Zurich last year.,Named Entity Recognition,Single Sentence,"PERSON: Adaeze Scott, ORG: Global Trade Partners, GPE: Zurich",Intermediate
968,Review this input: The bike-sharing program was launched to ease congestion.|The novelist postponed her sequel's release indefinitely.,Text Similarity,Sentence Pair,Low similarity (unrelated),Beginner
969,"As an example, She bought a ticket to catch the early morning [MASK].",Masked Language Modeling,Masked Sentence,train,Intermediate
970,"Take the following text: Volunteers spent the weekend restoring a historic trail damaged by recent storms, clearing debris and repairing several washed-out sections.",Text Summarization,Paragraph,Volunteers restore storm-damaged historic trail over the weekend.,Intermediate
971,Here is a case to review: Peter Johansson joined Quantum Innovations in Dublin last year.,Named Entity Recognition,Single Sentence,"PERSON: Peter Johansson, ORG: Quantum Innovations, GPE: Dublin",Intermediate
972,Review this input: The Eiffel Tower was completed in 1889 and stands in Paris.|What year was the Eiffel Tower completed?,Question Answering,Context + Question,1889,Beginner
973,Please review: The gardener watered the plants every [MASK] morning.,Masked Language Modeling,Masked Sentence,single,Intermediate
974,Take the following text: The festival attracts more than fifty thousand visitors each year.|How many visitors does the festival attract each year?,Question Answering,Context + Question,more than fifty thousand,Beginner
975,Take the following text: The startup raised a new round of funding.|The startup's funding round was widely reported as unsuccessful.,Text Similarity,Sentence Pair,Low similarity (contradiction),Intermediate
976,Please review: The library was renovated using funds from a private donor.|How was the library's renovation funded?,Question Answering,Context + Question,funds from a private donor,Intermediate
977,"Take the following text: After years of research, scientists announced a new method for recycling plastic that uses significantly less energy than traditional processes, potentially transforming the recycling industry.",Text Summarization,Paragraph,Scientists develop energy-efficient plastic recycling method.,Beginner
978,Reference text: Mateus Taylor joined Harborview College in Seoul last year.,Named Entity Recognition,Single Sentence,"PERSON: Mateus Taylor, ORG: Harborview College, GPE: Seoul",Intermediate
979,Review this input: The library was renovated using funds from a private donor.|How was the library's renovation funded?,Question Answering,Context + Question,funds from a private donor,Advanced
980,Reference text: Draft a short welcome message for new employees.,Text Generation,Prompt,Welcome to the team; we're excited to have you join us on this journey.,Advanced
981,The orchestra performed a tribute to the late composer.|A tribute to the late composer was performed by the orchestra.,Text Similarity,Sentence Pair,High similarity (paraphrase),Beginner
982,"Review this input: The scientists' research was widely criticized as flawed.|The scientists published groundbreaking, well-received research.",Text Similarity,Sentence Pair,Low similarity (contradiction),Beginner
983,Task input: The orchestra rehearsed for weeks before the [MASK].,Masked Language Modeling,Masked Sentence,concert,Beginner
984,"Here is a case to review: Overall, the delivery was slow based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Beginner
985,"Task input: Overall, the fitness tracker was satisfying based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Intermediate
986,See below: Coaches emphasized endurance training ahead of the tournament.,Text Classification,Single Sentence,Sports,Intermediate
987,Consider the following: Photosynthesis allows plants to convert sunlight into energy.|What does photosynthesis allow plants to do?,Question Answering,Context + Question,convert sunlight into energy,Advanced
988,Sample input: The tourists took photos of the historic [MASK].,Masked Language Modeling,Masked Sentence,landmark,Intermediate
989,Task input: The hikers reached the summit just before sunset.|The group of hikers made it to the top right before sunset.,Text Similarity,Sentence Pair,High similarity (paraphrase),Intermediate
990,Case in point: The engineer reviewed the blueprint before the [MASK].,Masked Language Modeling,Masked Sentence,construction,Advanced
991,"Note the following: Overall, the flight was poor based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Intermediate
992,"Take the following text: Overall, the restaurant was efficient based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Beginner
993,"For instance, The scientist conducted an experiment in the [MASK].",Masked Language Modeling,Masked Sentence,laboratory,Intermediate
994,Please review: BrightFuture Foundation announced a new office opening in Edinburgh.,Named Entity Recognition,Single Sentence,"ORG: BrightFuture Foundation, GPE: Edinburgh",Intermediate
995,"For instance, The airline unveiled a redesigned cabin layout intended to improve passenger comfort on long-haul flights, including wider seats and more legroom.",Text Summarization,Paragraph,Airline redesigns cabin layout to improve long-haul passenger comfort.,Beginner
996,"Here is a case to review: The hospital opened a new pediatric wing this week, funded largely through community donations, aiming to reduce wait times and improve care for young patients across the region.",Text Summarization,Paragraph,Hospital opens community-funded pediatric wing to improve care.,Intermediate
997,"As an example, Leila Suzuki was appointed as the new director at Harborview College.",Named Entity Recognition,Single Sentence,"PERSON: Leila Suzuki, ORG: Harborview College",Intermediate
998,Sample input: Developers released an open-source library for data analysis.,Text Classification,Single Sentence,Technology,Intermediate
999,"Reference text: Overall, the fitness tracker was outstanding based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Beginner
1000,"For instance, Overall, the mobile app was slow based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Beginner
1001,Consider the following: Northfield University announced a new office opening in Dublin.,Named Entity Recognition,Single Sentence,"ORG: Northfield University, GPE: Dublin",Intermediate
1002,Task input: Write an opening line for a memoir about growing up near the coast.,Text Generation,Prompt,"The ocean was the first sound I remember, and it never really left me.",Intermediate
1003,"Sample input: Overall, the hotel stay was acceptable based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Beginner
1004,Note the following: The streaming series became a global sensation within weeks.,Text Classification,Single Sentence,Entertainment,Beginner
1005,"Please review: Overall, the software update was slow based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Advanced
1006,Consider the following: The bike-sharing program was launched to ease congestion.|The novelist postponed her sequel's release indefinitely.,Text Similarity,Sentence Pair,Low similarity (unrelated),Intermediate
1007,Case in point: The librarian organized the books by [MASK].,Masked Language Modeling,Masked Sentence,genre,Beginner
1008,Review this input: Generate a short caption for a photo of an autumn forest trail.,Text Generation,Prompt,Crisp air and golden leaves make this trail impossible to resist in autumn.,Intermediate
1009,"As an example, The committee reviewed each [MASK] before making a decision.",Masked Language Modeling,Masked Sentence,proposal,Advanced
1010,Case in point: The team celebrated their championship victory.|The team lost the championship final.,Text Similarity,Sentence Pair,Low similarity (contradiction),Advanced
1011,Note the following: The orchestra performed a piece composed specifically for the occasion.|What kind of piece did the orchestra perform?,Question Answering,Context + Question,a piece composed specifically for the occasion,Intermediate
1012,See below: Lucas Anderson was appointed as the new director at Quantum Innovations.,Named Entity Recognition,Single Sentence,"PERSON: Lucas Anderson, ORG: Quantum Innovations",Beginner
1013,Here is a case to review: Travelers shared tips for finding affordable flights this year.,Text Classification,Single Sentence,Travel,Intermediate
1014,Sample input: The team celebrated their championship victory.|The team lost the championship final.,Text Similarity,Sentence Pair,Low similarity (contradiction),Beginner
1015,"Case in point: Overall, the hotel stay was outstanding based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Advanced
1016,Here is a case to review: The volunteers cleaned up litter along the riverbank.|Litter along the riverbank was cleared by volunteers.,Text Similarity,Sentence Pair,High similarity (paraphrase),Intermediate
1017,Task input: Draft a short welcome message for new employees.,Text Generation,Prompt,Welcome to the team; we're excited to have you join us on this journey.,Advanced
1018,Write a tagline for a new fitness app.,Text Generation,Prompt,"Track your progress, build your habits, and reach your goals every day.",Beginner
1019,"Overall, the hotel stay was subpar based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Intermediate
1020,Note the following: Mateus Silva joined Redstone Consulting in Vancouver last year.,Named Entity Recognition,Single Sentence,"PERSON: Mateus Silva, ORG: Redstone Consulting, GPE: Vancouver",Intermediate
1021,Review this input: The video game studio revealed footage for its upcoming release.,Text Classification,Single Sentence,Entertainment,Beginner
1022,Case in point: The airline canceled several flights due to weather.|The library added new titles to its collection.,Text Similarity,Sentence Pair,Low similarity (unrelated),Beginner
1023,Sample input: Write a short pitch for a language-learning app.,Text Generation,Prompt,Learn a new language in minutes a day with lessons built around real conversations.,Advanced
1024,"Case in point: Overall, the delivery was poor based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Intermediate
1025,The tech firm rolled out a privacy update giving users more control over how their data is shared with third-party advertisers.,Text Summarization,Paragraph,Tech firm gives users more control over data sharing with new update.,Advanced
1026,"Overall, the customer service team was satisfying based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Beginner
1027,Task input: Teachers attended a workshop on integrating technology into lessons.,Text Classification,Single Sentence,Education,Intermediate
1028,Case in point: The university launched a mentorship program for graduates.,Text Classification,Single Sentence,Education,Intermediate
1029,"For instance, Overall, the software update was average based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Advanced
1030,The observatory captured detailed images of a distant galaxy.,Text Classification,Single Sentence,Science,Intermediate
1031,"Note the following: The scientists' research was widely criticized as flawed.|The scientists published groundbreaking, well-received research.",Text Similarity,Sentence Pair,Low similarity (contradiction),Beginner
1032,Note the following: Write an opening line for a travel guide about a mountain village.,Text Generation,Prompt,"Tucked between two peaks, this quiet mountain village feels frozen in time.",Beginner
1033,Example: The students submitted their assignments before the [MASK].,Masked Language Modeling,Masked Sentence,deadline,Beginner
1034,Reference text: The vaccine trial included over five thousand volunteers worldwide.|How many volunteers were included in the vaccine trial?,Question Answering,Context + Question,over five thousand,Beginner
1035,"Please review: The airline unveiled a redesigned cabin layout intended to improve passenger comfort on long-haul flights, including wider seats and more legroom.",Text Summarization,Paragraph,Airline redesigns cabin layout to improve long-haul passenger comfort.,Advanced
1036,Take the following text: The novel was translated into twelve languages after its release.|Into how many languages was the novel translated?,Question Answering,Context + Question,twelve,Advanced
1037,Reference text: The athlete stretched carefully before the [MASK].,Masked Language Modeling,Masked Sentence,race,Intermediate
1038,Reference text: Wei Wright joined Blue Horizon Airlines in Buenos Aires last year.,Named Entity Recognition,Single Sentence,"PERSON: Wei Wright, ORG: Blue Horizon Airlines, GPE: Buenos Aires",Advanced
1039,"As an example, Write an opening line for a mystery novel set in a small coastal town.",Text Generation,Prompt,No one in the small coastal town expected the tide to bring back more than driftwood.,Advanced
1040,Reference text: The university launched a mentorship program for graduates.,Text Classification,Single Sentence,Education,Advanced
1041,Here is a case to review: The tourists took photos of the historic [MASK].,Masked Language Modeling,Masked Sentence,landmark,Intermediate
1042,"As an example, Continue the story: The archivist found a letter that had never been opened...",Text Generation,Prompt,...its wax seal was still intact after more than a century.,Beginner
1043,"Overall, the restaurant was typical based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Intermediate
1044,"Input sample: Overall, the customer service team was disappointing based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Beginner
1045,Here is a case to review: The streaming series became a global sensation within weeks.,Text Classification,Single Sentence,Entertainment,Beginner
1046,"Overall, the restaurant was reliable based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Intermediate
1047,Case in point: She bought a ticket to catch the early morning [MASK].,Masked Language Modeling,Masked Sentence,train,Advanced
1048,"Take the following text: A local nonprofit distributed thousands of winter coats to families in need, relying entirely on community donations and volunteer coordination.",Text Summarization,Paragraph,Nonprofit distributes winter coats to families through community donations.,Intermediate
1049,Here is a case to review: Write a short pitch for a new budgeting app.,Text Generation,Prompt,Take control of your spending with an app that makes budgeting simple and stress-free.,Intermediate
1050,"For instance, Write an opening line for a mystery novel set in a small coastal town.",Text Generation,Prompt,No one in the small coastal town expected the tide to bring back more than driftwood.,Beginner
1051,Take the following text: The satellite was launched into orbit in early 2021.|When was the satellite launched into orbit?,Question Answering,Context + Question,early 2021,Intermediate
1052,Take the following text: The museum closed its ancient exhibit permanently.|The startup's app is available in over forty countries.,Text Similarity,Sentence Pair,Low similarity (unrelated),Intermediate
1053,Input sample: The committee reviewed each [MASK] before making a decision.,Masked Language Modeling,Masked Sentence,proposal,Beginner
1054,Case in point: The barista prepared a fresh cup of [MASK] for the customer.,Masked Language Modeling,Masked Sentence,coffee,Advanced
1055,See below: The nurse recorded the patient's [MASK] every hour.,Masked Language Modeling,Masked Sentence,temperature,Intermediate
1056,"Consider the following: A regional theater group staged a modern retelling of a classic play, drawing praise for its inventive set design and a diverse young cast.",Text Summarization,Paragraph,Theater group praised for modern retelling of a classic play.,Intermediate
1057,Union Manufacturing Corp. announced a new office opening in Berlin.,Named Entity Recognition,Single Sentence,"ORG: Union Manufacturing Corp., GPE: Berlin",Advanced
1058,Review this input: The orchestra performed a tribute to the late composer.|A tribute to the late composer was performed by the orchestra.,Text Similarity,Sentence Pair,High similarity (paraphrase),Advanced
1059,Reference text: Continue the story: The old lighthouse had been abandoned for decades until...,Text Generation,Prompt,...a young sailor discovered a hidden journal inside its rusted walls.,Advanced
1060,Generate a product description for a reusable water bottle.,Text Generation,Prompt,"This durable, eco-friendly water bottle keeps drinks cold for hours at a time.",Beginner
1061,See below: Continue the story: The archivist found a letter that had never been opened...,Text Generation,Prompt,...its wax seal was still intact after more than a century.,Intermediate
1062,Please review: The teacher handed out the [MASK] at the start of class.,Masked Language Modeling,Masked Sentence,worksheet,Intermediate
1063,Task input: Zenith Pharmaceuticals announced a new office opening in Edinburgh.,Named Entity Recognition,Single Sentence,"ORG: Zenith Pharmaceuticals, GPE: Edinburgh",Intermediate
1064,Note the following: The museum closed its ancient exhibit permanently.|The startup's app is available in over forty countries.,Text Similarity,Sentence Pair,Low similarity (unrelated),Advanced
1065,Task input: The vaccine trial included over five thousand volunteers worldwide.|How many volunteers were included in the vaccine trial?,Question Answering,Context + Question,over five thousand,Intermediate
1066,"Reference text: Overall, the mobile app was slow based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Advanced
1067,Consider the following: Vertex Analytics announced a new office opening in Warsaw.,Named Entity Recognition,Single Sentence,"ORG: Vertex Analytics, GPE: Warsaw",Beginner
1068,"As an example, The satellite was launched into orbit in early 2021.|When was the satellite launched into orbit?",Question Answering,Context + Question,early 2021,Beginner
1069,Input sample: Mount Everest is the tallest mountain above sea level on Earth.|What is the tallest mountain above sea level?,Question Answering,Context + Question,Mount Everest,Intermediate
1070,See below: The startup's app is available in over forty countries.|In how many countries is the startup's app available?,Question Answering,Context + Question,over forty,Advanced
1071,"For instance, Overall, the software update was unreliable based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Intermediate
1072,"As an example, Overall, the delivery was frustrating based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Beginner
1073,"Sample input: Overall, the fitness tracker was standard based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Beginner
1074,Mount Everest is the tallest mountain above sea level on Earth.|What is the tallest mountain above sea level?,Question Answering,Context + Question,Mount Everest,Beginner
1075,Please review: Hana Costa joined Summit Robotics Inc. in Osaka last year.,Named Entity Recognition,Single Sentence,"PERSON: Hana Costa, ORG: Summit Robotics Inc., GPE: Osaka",Intermediate
1076,Task input: The orchestra performed a piece composed specifically for the occasion.|What kind of piece did the orchestra perform?,Question Answering,Context + Question,a piece composed specifically for the occasion,Beginner
1077,"Task input: The film studio confirmed that production on the long-awaited sequel will begin next spring, with much of the original cast expected to return for the project.",Text Summarization,Paragraph,Studio confirms sequel production will begin next spring.,Intermediate
1078,The scientist conducted an experiment in the [MASK].,Masked Language Modeling,Masked Sentence,laboratory,Intermediate
1079,Sample input: Nina Kim was appointed as the new director at Summit Robotics Inc..,Named Entity Recognition,Single Sentence,"PERSON: Nina Kim, ORG: Summit Robotics Inc.",Beginner
1080,"Example: The city's new bike-sharing program has already logged tens of thousands of rides in its first month, with officials crediting expanded lanes and lower fares for the early success.",Text Summarization,Paragraph,City's new bike-sharing program sees strong early adoption.,Beginner
1081,Reference text: Zenith Pharmaceuticals announced a new office opening in Edinburgh.,Named Entity Recognition,Single Sentence,"ORG: Zenith Pharmaceuticals, GPE: Edinburgh",Beginner
1082,"As an example, The athlete stretched carefully before the [MASK].",Masked Language Modeling,Masked Sentence,race,Intermediate
1083,"As an example, After years of research, scientists announced a new method for recycling plastic that uses significantly less energy than traditional processes, potentially transforming the recycling industry.",Text Summarization,Paragraph,Scientists develop energy-efficient plastic recycling method.,Advanced
1084,Reference text: The young athlete broke the regional record in the sprint.,Text Classification,Single Sentence,Sports,Beginner
1085,"For instance, The library was renovated using funds from a private donor.|How was the library's renovation funded?",Question Answering,Context + Question,funds from a private donor,Advanced
1086,See below: The district approved funding for updated classroom technology.,Text Classification,Single Sentence,Education,Intermediate
1087,"Reference text: Overall, the hotel stay was efficient based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Advanced
1088,Case in point: Researchers published new findings about deep-sea ecosystems.,Text Classification,Single Sentence,Science,Beginner
1089,"As an example, Mount Everest is the tallest mountain above sea level on Earth.|What is the tallest mountain above sea level?",Question Answering,Context + Question,Mount Everest,Beginner
1090,"As an example, The gardener watered the plants every [MASK] morning.",Masked Language Modeling,Masked Sentence,single,Beginner
1091,"Consider the following: Overall, the software update was unreliable based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Advanced
1092,"Note the following: Volunteers spent the weekend restoring a historic trail damaged by recent storms, clearing debris and repairing several washed-out sections.",Text Summarization,Paragraph,Volunteers restore storm-damaged historic trail over the weekend.,Intermediate
1093,"Case in point: Overall, the fitness tracker was efficient based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Beginner
1094,"As an example, Developers released an open-source library for data analysis.",Text Classification,Single Sentence,Technology,Advanced
1095,Take the following text: Victor Petrov joined Blue Horizon Airlines in Austin last year.,Named Entity Recognition,Single Sentence,"PERSON: Victor Petrov, ORG: Blue Horizon Airlines, GPE: Austin",Intermediate
1096,Review this input: She bought a ticket to catch the early morning [MASK].,Masked Language Modeling,Masked Sentence,train,Intermediate
1097,Reference text: The hikers packed extra water before reaching the [MASK].,Masked Language Modeling,Masked Sentence,summit,Intermediate
1098,Consider the following: The tech firm rolled out a privacy update giving users more control over how their data is shared with third-party advertisers.,Text Summarization,Paragraph,Tech firm gives users more control over data sharing with new update.,Intermediate
1099,"For instance, The observatory captured unprecedented images of a distant nebula after upgrading its imaging equipment, giving astronomers new insight into star formation.",Text Summarization,Paragraph,Observatory captures new images of nebula after equipment upgrade.,Beginner
1100,"For instance, The mechanic inspected the car's [MASK] before the road trip.",Masked Language Modeling,Masked Sentence,engine,Intermediate
1101,Case in point: The college expanded its online course catalog significantly.,Text Classification,Single Sentence,Education,Advanced
1102,"Take the following text: Researchers at the university tracked bird migration patterns for over a decade, finding that changing climate conditions have shifted the timing of seasonal movement significantly.",Text Summarization,Paragraph,Decade-long study finds climate change shifting bird migration timing.,Beginner
1103,Take the following text: Zainab Wright joined Falcon Logistics in Cape Town last year.,Named Entity Recognition,Single Sentence,"PERSON: Zainab Wright, ORG: Falcon Logistics, GPE: Cape Town",Beginner
1104,Task input: The museum's newest exhibit focuses on ancient trade routes.|What does the museum's newest exhibit focus on?,Question Answering,Context + Question,ancient trade routes,Beginner
1105,Consider the following: Chen Wright was appointed as the new director at Zenith Pharmaceuticals.,Named Entity Recognition,Single Sentence,"PERSON: Chen Wright, ORG: Zenith Pharmaceuticals",Beginner
1106,Example: The company was founded by two engineers in a small garage.|Who founded the company?,Question Answering,Context + Question,two engineers,Advanced
1107,Case in point: Quantum Innovations announced a new office opening in Denver.,Named Entity Recognition,Single Sentence,"ORG: Quantum Innovations, GPE: Denver",Beginner
1108,Sample input: Scientists discovered a new species in the rainforest canopy.,Text Classification,Single Sentence,Science,Beginner
1109,Case in point: Researchers discovered a new species in the rainforest.|A new species was discovered in the rainforest by researchers.,Text Similarity,Sentence Pair,High similarity (paraphrase),Beginner
1110,"For instance, The ancient ruins were discovered by a team of archaeologists in 1974.|Who discovered the ancient ruins?",Question Answering,Context + Question,a team of archaeologists,Beginner
1111,"See below: Overall, the customer support agent was outstanding based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Advanced
1112,Review this input: Skyline Real Estate announced a new office opening in Wellington.,Named Entity Recognition,Single Sentence,"ORG: Skyline Real Estate, GPE: Wellington",Advanced
1113,"Take the following text: Overall, the online course was outstanding based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Advanced
1114,"Here is a case to review: The scientists' research was widely criticized as flawed.|The scientists published groundbreaking, well-received research.",Text Similarity,Sentence Pair,Low similarity (contradiction),Beginner
1115,Please review: Researchers published new findings about deep-sea ecosystems.,Text Classification,Single Sentence,Science,Intermediate
1116,"Review this input: Overall, the delivery was impressive based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Intermediate
1117,Input sample: The athlete stretched carefully before the [MASK].,Masked Language Modeling,Masked Sentence,race,Beginner
1118,The mechanic inspected the car's [MASK] before the road trip.,Masked Language Modeling,Masked Sentence,engine,Beginner
1119,The hospital expanded its emergency department.|Doctors recommended more sleep for better memory.,Text Similarity,Sentence Pair,Low similarity (unrelated),Intermediate
1120,Note the following: Generate a short caption for a photo of an autumn forest trail.,Text Generation,Prompt,Crisp air and golden leaves make this trail impossible to resist in autumn.,Beginner
1121,See below: The vaccine trial included over five thousand volunteers worldwide.|How many volunteers were included in the vaccine trial?,Question Answering,Context + Question,over five thousand,Advanced
1122,She bought a ticket to catch the early morning [MASK].,Masked Language Modeling,Masked Sentence,train,Beginner
1123,Example: Teachers attended a workshop on integrating technology into lessons.,Text Classification,Single Sentence,Education,Intermediate
1124,Task input: Generate a short caption for a photo of a bustling night market.,Text Generation,Prompt,"Lights, aromas, and laughter fill the air at the city's favorite night market.",Intermediate
1125,"Note the following: Overall, the new laptop was acceptable based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Beginner
1126,Note the following: Julia Larsen was appointed as the new director at Aurora Data Systems.,Named Entity Recognition,Single Sentence,"PERSON: Julia Larsen, ORG: Aurora Data Systems",Advanced
1127,Example: The marathon route passes through five historic neighborhoods.|How many historic neighborhoods does the marathon route pass through?,Question Answering,Context + Question,five,Intermediate
1128,Sample input: The Eiffel Tower was completed in 1889 and stands in Paris.|What year was the Eiffel Tower completed?,Question Answering,Context + Question,1889,Beginner
1129,Take the following text: Felix Wilson was appointed as the new director at Aurora Data Systems.,Named Entity Recognition,Single Sentence,"PERSON: Felix Wilson, ORG: Aurora Data Systems",Intermediate
1130,Task input: The novel was translated into twelve languages after its release.|Into how many languages was the novel translated?,Question Answering,Context + Question,twelve,Beginner
1131,"Please review: Overall, the printer was efficient based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Intermediate
1132,Here is a case to review: Jack Brown was appointed as the new director at NextGen Software Labs.,Named Entity Recognition,Single Sentence,"PERSON: Jack Brown, ORG: NextGen Software Labs",Beginner
1133,"For instance, The hospital opened a new pediatric wing this week, funded largely through community donations, aiming to reduce wait times and improve care for young patients across the region.",Text Summarization,Paragraph,Hospital opens community-funded pediatric wing to improve care.,Advanced
1134,Please review: Hassan Khan was appointed as the new director at Crescent Media Group.,Named Entity Recognition,Single Sentence,"PERSON: Hassan Khan, ORG: Crescent Media Group",Beginner
1135,Reference text: Continue the story: The archivist found a letter that had never been opened...,Text Generation,Prompt,...its wax seal was still intact after more than a century.,Beginner
1136,Take the following text: The team celebrated their championship victory.|The team lost the championship final.,Text Similarity,Sentence Pair,Low similarity (contradiction),Intermediate
1137,Generate a short caption for a photo of a mountain sunrise.,Text Generation,Prompt,Golden light spills over the peaks as another day begins in the highlands.,Advanced
1138,"Here is a case to review: Overall, the software update was poor based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Beginner
1139,"The university announced a new scholarship program aimed at supporting first-generation college students, covering tuition, housing, and textbook costs for qualifying applicants.",Text Summarization,Paragraph,University launches scholarship for first-generation students.,Intermediate
1140,"Please review: Overall, the printer was frustrating based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Intermediate
1141,"Overall, the software update was efficient based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Intermediate
1142,See below: Nutritionists recommended simple changes to daily eating habits.,Text Classification,Single Sentence,Health,Intermediate
1143,"Input sample: The observatory captured unprecedented images of a distant nebula after upgrading its imaging equipment, giving astronomers new insight into star formation.",Text Summarization,Paragraph,Observatory captures new images of nebula after equipment upgrade.,Beginner
1144,Task input: The chef added a pinch of salt to the [MASK].,Masked Language Modeling,Masked Sentence,soup,Beginner
1145,Example: The farmer checked the soil before planting the [MASK].,Masked Language Modeling,Masked Sentence,seeds,Beginner
1146,Here is a case to review: Continue the story: The scientist stared at the readings in disbelief because...,Text Generation,Prompt,...the numbers suggested something no experiment had ever recorded before.,Advanced
1147,Please review: The factory upgraded its equipment to save energy.|The factory's energy use increased after equipment failed.,Text Similarity,Sentence Pair,Low similarity (contradiction),Beginner
1148,See below: The novelist released her long-awaited sequel.|The bakery introduced gluten-free pastries.,Text Similarity,Sentence Pair,Low similarity (unrelated),Intermediate
1149,Note the following: The Eiffel Tower was completed in 1889 and stands in Paris.|What year was the Eiffel Tower completed?,Question Answering,Context + Question,1889,Advanced
1150,Take the following text: Olivia Ivanov joined Cedar Grove Hospital in Seoul last year.,Named Entity Recognition,Single Sentence,"PERSON: Olivia Ivanov, ORG: Cedar Grove Hospital, GPE: Seoul",Beginner
1151,Input sample: The orchestra rehearsed for weeks before the [MASK].,Masked Language Modeling,Masked Sentence,concert,Intermediate
1152,Input sample: The orchestra performed a piece composed specifically for the occasion.|What kind of piece did the orchestra perform?,Question Answering,Context + Question,a piece composed specifically for the occasion,Intermediate
1153,Take the following text: Felix Smith was appointed as the new director at NextGen Software Labs.,Named Entity Recognition,Single Sentence,"PERSON: Felix Smith, ORG: NextGen Software Labs",Beginner
1154,"As an example, The festival attracts more than fifty thousand visitors each year.|How many visitors does the festival attract each year?",Question Answering,Context + Question,more than fifty thousand,Beginner
1155,"Review this input: The observatory captured unprecedented images of a distant nebula after upgrading its imaging equipment, giving astronomers new insight into star formation.",Text Summarization,Paragraph,Observatory captures new images of nebula after equipment upgrade.,Intermediate
1156,Example: The team celebrated their championship victory.|The team lost the championship final.,Text Similarity,Sentence Pair,Low similarity (contradiction),Intermediate
1157,Input sample: The Eiffel Tower was completed in 1889 and stands in Paris.|What year was the Eiffel Tower completed?,Question Answering,Context + Question,1889,Advanced
1158,"Case in point: Overall, the mobile app was impressive based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Intermediate
1159,Sample input: Continue the story: The scientist stared at the readings in disbelief because...,Text Generation,Prompt,...the numbers suggested something no experiment had ever recorded before.,Intermediate
1160,"As an example, Researchers discovered a new species in the rainforest.|A new species was discovered in the rainforest by researchers.",Text Similarity,Sentence Pair,High similarity (paraphrase),Intermediate
1161,Here is a case to review: Silverline Motors announced a new office opening in Seoul.,Named Entity Recognition,Single Sentence,"ORG: Silverline Motors, GPE: Seoul",Advanced
1162,See below: Donors contributed generously to the hospital's expansion.|The hospital's expansion was funded by generous donors.,Text Similarity,Sentence Pair,High similarity (paraphrase),Beginner
1163,"For instance, Overall, the mobile app was average based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Advanced
1164,Input sample: The doctor recommended more rest and a balanced [MASK].,Masked Language Modeling,Masked Sentence,diet,Beginner
1165,"Sample input: A regional theater group staged a modern retelling of a classic play, drawing praise for its inventive set design and a diverse young cast.",Text Summarization,Paragraph,Theater group praised for modern retelling of a classic play.,Intermediate
1166,Reference text: The startup raised a new round of funding.|The startup's funding round was widely reported as unsuccessful.,Text Similarity,Sentence Pair,Low similarity (contradiction),Intermediate
1167,Consider the following: Researchers published new findings about deep-sea ecosystems.,Text Classification,Single Sentence,Science,Advanced
1168,Review this input: The hospital expanded its emergency department.|Doctors recommended more sleep for better memory.,Text Similarity,Sentence Pair,Low similarity (unrelated),Advanced
1169,"Here is a case to review: Overall, the new laptop was excellent based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Beginner
1170,"Note the following: Overall, the customer support agent was frustrating based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Beginner
1171,Note the following: The hikers packed extra water before reaching the [MASK].,Masked Language Modeling,Masked Sentence,summit,Intermediate
