id,text,entities,entity_types,person,organization,location,date,money,product
1130,"Lucas Baker, a spokesperson for Brightline Technologies, confirmed the release of a SoundWave headset for $1,200 on February 12, 2022.","Lucas Baker; Brightline Technologies; February 12, 2022; $1,200; a SoundWave headset",PERSON; ORG; DATE; MONEY; PRODUCT,Lucas Baker,Brightline Technologies,,"February 12, 2022","$1,200",SoundWave headset
1131,Liam Kim traveled from Zurich to Amsterdam to negotiate a deal worth $75 with Global Trade Partners.,Liam Kim; Global Trade Partners; Amsterdam; Zurich; $75,PERSON; ORG; GPE; GPE; MONEY,Liam Kim,Global Trade Partners,"Amsterdam, Zurich",,$75,
1132,"Zainab Fernandez, a spokesperson for Cedar Grove Hospital, confirmed the release of a ProGrip tennis racket for $499.99 on January 6, 2022.","Zainab Fernandez; Cedar Grove Hospital; January 6, 2022; $499.99; a ProGrip tennis racket",PERSON; ORG; DATE; MONEY; PRODUCT,Zainab Fernandez,Cedar Grove Hospital,,"January 6, 2022",$499.99,ProGrip tennis racket
1133,"On November 2, 2025, Ironwood Steel Works opened a new branch in Denver, India, appointing Leila King as director.","Leila King; Ironwood Steel Works; Denver; India; November 2, 2025",PERSON; ORG; GPE; GPE; DATE,Leila King,Ironwood Steel Works,"Denver, India","November 2, 2025",,
1134,"Ethan Clark, a spokesperson for Riverside Bank, confirmed the release of the GreenLeaf water bottle for $24.50 on July 13, 2025.","Ethan Clark; Riverside Bank; July 13, 2025; $24.50; the GreenLeaf water bottle",PERSON; ORG; DATE; MONEY; PRODUCT,Ethan Clark,Riverside Bank,,"July 13, 2025",$24.50,GreenLeaf water bottle
1135,"The board at Redstone Consulting approved a $499.99 investment in Copenhagen after Nina King's presentation on October 11, 2025.","Nina King; Redstone Consulting; Copenhagen; October 11, 2025; $499.99",PERSON; ORG; GPE; DATE; MONEY,Nina King,Redstone Consulting,Copenhagen,"October 11, 2025",$499.99,
1136,Samuel Wright traveled from Lisbon to Denver to negotiate a deal worth $24.50 with Coastal Insurance Co..,Samuel Wright; Coastal Insurance Co.; Denver; Lisbon; $24.50,PERSON; ORG; GPE; GPE; MONEY,Samuel Wright,Coastal Insurance Co.,"Denver, Lisbon",,$24.50,
1137,"Tom Wright, a spokesperson for Crescent Media Group, confirmed the release of the AeroFit smartwatch for $199 on October 23, 2017.","Tom Wright; Crescent Media Group; October 23, 2017; $199; the AeroFit smartwatch",PERSON; ORG; DATE; MONEY; PRODUCT,Tom Wright,Crescent Media Group,,"October 23, 2017",$199,AeroFit smartwatch
1138,"Ahmed Garcia, a spokesperson for Summit Robotics Inc., confirmed the release of the AeroFit smartwatch for $350 on January 16, 2020.","Ahmed Garcia; Summit Robotics Inc.; January 16, 2020; $350; the AeroFit smartwatch",PERSON; ORG; DATE; MONEY; PRODUCT,Ahmed Garcia,Summit Robotics Inc.,,"January 16, 2020",$350,AeroFit smartwatch
1139,"During the conference in Berlin, Aisha Osei from Northfield University unveiled a RoadMaster bicycle priced at $24.50.",Aisha Osei; Northfield University; Berlin; $24.50; a RoadMaster bicycle,PERSON; ORG; GPE; MONEY; PRODUCT,Aisha Osei,Northfield University,Berlin,,$24.50,RoadMaster bicycle
1140,Zainab Wright traveled from Manila to Wellington to negotiate a deal worth $350 with Golden Gate Retailers.,Zainab Wright; Golden Gate Retailers; Manila; Wellington; $350,PERSON; ORG; GPE; GPE; MONEY,Zainab Wright,Golden Gate Retailers,"Manila, Wellington",,$350,
1141,"Riverside Bank partnered with a university in Manila to research a SnapShot camera technology, Adaeze Nguyen reported.",Adaeze Nguyen; Riverside Bank; Manila; a SnapShot camera,PERSON; ORG; GPE; PRODUCT,Adaeze Nguyen,Riverside Bank,Manila,,,SnapShot camera
1142,"On April 4, 2025, Vertex Analytics opened a new branch in Vancouver, the Czech Republic, appointing Omar Clark as director.","Omar Clark; Vertex Analytics; Vancouver; the Czech Republic; April 4, 2025",PERSON; ORG; GPE; GPE; DATE,Omar Clark,Vertex Analytics,"Vancouver, the Czech Republic","April 4, 2025",,
1143,"Wei Kowalski, a spokesperson for Blue Horizon Airlines, confirmed the release of a RoadMaster bicycle for $45.50 on June 16, 2022.","Wei Kowalski; Blue Horizon Airlines; June 16, 2022; $45.50; a RoadMaster bicycle",PERSON; ORG; DATE; MONEY; PRODUCT,Wei Kowalski,Blue Horizon Airlines,,"June 16, 2022",$45.50,RoadMaster bicycle
1144,"Carlos Chen joined Maple Street School District in Bangkok on June 24, 2018 to launch the SmartHome Hub.","Carlos Chen; Maple Street School District; Bangkok; June 24, 2018; the SmartHome Hub",PERSON; ORG; GPE; DATE; PRODUCT,Carlos Chen,Maple Street School District,Bangkok,"June 24, 2018",,SmartHome Hub
1145,"The board at Crescent Media Group approved a $499.99 investment in Kuala Lumpur after Yuki Novak's presentation on March 9, 2018.","Yuki Novak; Crescent Media Group; Kuala Lumpur; March 9, 2018; $499.99",PERSON; ORG; GPE; DATE; MONEY,Yuki Novak,Crescent Media Group,Kuala Lumpur,"March 9, 2018",$499.99,
1146,Aisha Haddad traveled from Cape Town to Helsinki to negotiate a deal worth $75 with Redstone Consulting.,Aisha Haddad; Redstone Consulting; Cape Town; Helsinki; $75,PERSON; ORG; GPE; GPE; MONEY,Aisha Haddad,Redstone Consulting,"Cape Town, Helsinki",,$75,
1147,"Isabella Lewis joined Skyline Real Estate in Cairo on June 20, 2018 to launch the PixelView monitor.","Isabella Lewis; Skyline Real Estate; Cairo; June 20, 2018; the PixelView monitor",PERSON; ORG; GPE; DATE; PRODUCT,Isabella Lewis,Skyline Real Estate,Cairo,"June 20, 2018",,PixelView monitor
1148,"Meridian Financial Group partnered with a university in Osaka to research a SnapShot camera technology, David Wright reported.",David Wright; Meridian Financial Group; Osaka; a SnapShot camera,PERSON; ORG; GPE; PRODUCT,David Wright,Meridian Financial Group,Osaka,,,SnapShot camera
1149,"Coastal Insurance Co. partnered with a university in Cairo to research the CloudDesk chair technology, Zainab Wright reported.",Zainab Wright; Coastal Insurance Co.; Cairo; the CloudDesk chair,PERSON; ORG; GPE; PRODUCT,Zainab Wright,Coastal Insurance Co.,Cairo,,,CloudDesk chair
1150,"During the conference in Toronto, Ahmed Brown from NextGen Software Labs unveiled the PixelView monitor priced at $19.99.",Ahmed Brown; NextGen Software Labs; Toronto; $19.99; the PixelView monitor,PERSON; ORG; GPE; MONEY; PRODUCT,Ahmed Brown,NextGen Software Labs,Toronto,,$19.99,PixelView monitor
1151,"Lakeside Medical Center announced that Hassan Brown will lead the new office in Vancouver starting January 4, 2020.","Hassan Brown; Lakeside Medical Center; Vancouver; January 4, 2020",PERSON; ORG; GPE; DATE,Hassan Brown,Lakeside Medical Center,Vancouver,"January 4, 2020",,
1152,"Mateus Clark, a spokesperson for Crescent Media Group, confirmed the release of a PureGlow skincare set for $49.99 on August 18, 2022.","Mateus Clark; Crescent Media Group; August 18, 2022; $49.99; a PureGlow skincare set",PERSON; ORG; DATE; MONEY; PRODUCT,Mateus Clark,Crescent Media Group,,"August 18, 2022",$49.99,PureGlow skincare set
1153,"Global Trade Partners announced that Emma Khan will lead the new office in Manila starting November 6, 2025.","Emma Khan; Global Trade Partners; Manila; November 6, 2025",PERSON; ORG; GPE; DATE,Emma Khan,Global Trade Partners,Manila,"November 6, 2025",,
1154,"The board at Lakeside Medical Center approved a $9.99 investment in Osaka after James Baker's presentation on May 25, 2025.","James Baker; Lakeside Medical Center; Osaka; May 25, 2025; $9.99",PERSON; ORG; GPE; DATE; MONEY,James Baker,Lakeside Medical Center,Osaka,"May 25, 2025",$9.99,
1155,"Mei Baker joined Crescent Media Group in Seoul on October 23, 2019 to launch a PureGlow skincare set.","Mei Baker; Crescent Media Group; Seoul; October 23, 2019; a PureGlow skincare set",PERSON; ORG; GPE; DATE; PRODUCT,Mei Baker,Crescent Media Group,Seoul,"October 23, 2019",,PureGlow skincare set
1156,"During the conference in Santiago, Priya Suzuki from Falcon Logistics unveiled the FlexFit yoga mat priced at $15.",Priya Suzuki; Falcon Logistics; Santiago; $15; the FlexFit yoga mat,PERSON; ORG; GPE; MONEY; PRODUCT,Priya Suzuki,Falcon Logistics,Santiago,,$15,FlexFit yogmat
1157,"Noah Yamamoto, a spokesperson for Summit Robotics Inc., confirmed the release of a NovaBook Pro laptop for $45.50 on June 15, 2025.","Noah Yamamoto; Summit Robotics Inc.; June 15, 2025; $45.50; a NovaBook Pro laptop",PERSON; ORG; DATE; MONEY; PRODUCT,Noah Yamamoto,Summit Robotics Inc.,,"June 15, 2025",$45.50,NovaBook Pro laptop
1158,"On September 9, 2019, BrightFuture Foundation opened a new branch in Bangkok, Ireland, appointing Aisha Wilson as director.","Aisha Wilson; BrightFuture Foundation; Bangkok; Ireland; September 9, 2019",PERSON; ORG; GPE; GPE; DATE,Aisha Wilson,BrightFuture Foundation,"Bangkok, Ireland","September 9, 2019",,
1159,"Ingrid Johansson, a spokesperson for Silverline Motors, confirmed the release of a NightOwl reading lamp for $89.99 on April 24, 2018.","Ingrid Johansson; Silverline Motors; April 24, 2018; $89.99; a NightOwl reading lamp",PERSON; ORG; DATE; MONEY; PRODUCT,Ingrid Johansson,Silverline Motors,,"April 24, 2018",$89.99,NightOwl reading lamp
1160,Carlos Moore traveled from Amsterdam to Mumbai to negotiate a deal worth $120 with NextGen Software Labs.,Carlos Moore; NextGen Software Labs; Amsterdam; Mumbai; $120,PERSON; ORG; GPE; GPE; MONEY,Carlos Moore,NextGen Software Labs,"Amsterdam, Mumbai",,$120,
1161,"During the conference in Dublin, Ethan Green from Meridian Financial Group unveiled the PixelView monitor priced at $9.99.",Ethan Green; Meridian Financial Group; Dublin; $9.99; the PixelView monitor,PERSON; ORG; GPE; MONEY; PRODUCT,Ethan Green,Meridian Financial Group,Dublin,,$9.99,PixelView monitor
1162,"Coastal Insurance Co. partnered with a university in Cape Town to research the QuickBrew coffee maker technology, Ingrid Suzuki reported.",Ingrid Suzuki; Coastal Insurance Co.; Cape Town; the QuickBrew coffee maker,PERSON; ORG; GPE; PRODUCT,Ingrid Suzuki,Coastal Insurance Co.,Cape Town,,,QuickBrew coffee maker
1163,"On June 5, 2019, Union Manufacturing Corp. opened a new branch in Marrakesh, the United States, appointing Noah Yamamoto as director.","Noah Yamamoto; Union Manufacturing Corp.; Marrakesh; the United States; June 5, 2019",PERSON; ORG; GPE; GPE; DATE,Noah Yamamoto,Union Manufacturing Corp.,"Marrakesh, the United States","June 5, 2019",,
1164,"The board at Lakeside Medical Center approved a $99 investment in Lisbon after Carlos Silva's presentation on July 1, 2023.","Carlos Silva; Lakeside Medical Center; Lisbon; July 1, 2023; $99",PERSON; ORG; GPE; DATE; MONEY,Carlos Silva,Lakeside Medical Center,Lisbon,"July 1, 2023",$99,
1165,"Fatima Silva joined Silverline Motors in Bangkok on April 5, 2024 to launch a SnapShot camera.","Fatima Silva; Silverline Motors; Bangkok; April 5, 2024; a SnapShot camera",PERSON; ORG; GPE; DATE; PRODUCT,Fatima Silva,Silverline Motors,Bangkok,"April 5, 2024",,SnapShot camera
1166,Jack Khan traveled from Berlin to Marrakesh to negotiate a deal worth $45.50 with Meridian Financial Group.,Jack Khan; Meridian Financial Group; Berlin; Marrakesh; $45.50,PERSON; ORG; GPE; GPE; MONEY,Jack Khan,Meridian Financial Group,"Berlin, Marrakesh",,$45.50,
1167,"Golden Gate Retailers announced that Nina Haddad will lead the new office in Wellington starting November 18, 2025.","Nina Haddad; Golden Gate Retailers; Wellington; November 18, 2025",PERSON; ORG; GPE; DATE,Nina Haddad,Golden Gate Retailers,Wellington,"November 18, 2025",,
1168,"Liam Moore, a spokesperson for Cedar Grove Hospital, confirmed the release of a StreamCast speaker for $75 on February 22, 2017.","Liam Moore; Cedar Grove Hospital; February 22, 2017; $75; a StreamCast speaker",PERSON; ORG; DATE; MONEY; PRODUCT,Liam Moore,Cedar Grove Hospital,,"February 22, 2017",$75,StreamCast speaker
1169,Ravi Garcia traveled from Denver to Jakarta to negotiate a deal worth $15 with Lakeside Medical Center.,Ravi Garcia; Lakeside Medical Center; Denver; Jakarta; $15,PERSON; ORG; GPE; GPE; MONEY,Ravi Garcia,Lakeside Medical Center,"Denver, Jakarta",,$15,
1170,"Mei Moore joined Golden Gate Retailers in Berlin on December 8, 2017 to launch a SoundWave headset.","Mei Moore; Golden Gate Retailers; Berlin; December 8, 2017; a SoundWave headset",PERSON; ORG; GPE; DATE; PRODUCT,Mei Moore,Golden Gate Retailers,Berlin,"December 8, 2017",,SoundWave headset
1171,"The board at Redstone Consulting approved a $24.50 investment in Vancouver after Lucas Yamamoto's presentation on November 7, 2019.","Lucas Yamamoto; Redstone Consulting; Vancouver; November 7, 2019; $24.50",PERSON; ORG; GPE; DATE; MONEY,Lucas Yamamoto,Redstone Consulting,Vancouver,"November 7, 2019",$24.50,
1172,"Yuki Fernandez joined Zenith Pharmaceuticals in Berlin on May 7, 2024 to launch the TravelLite suitcase.","Yuki Fernandez; Zenith Pharmaceuticals; Berlin; May 7, 2024; the TravelLite suitcase",PERSON; ORG; GPE; DATE; PRODUCT,Yuki Fernandez,Zenith Pharmaceuticals,Berlin,"May 7, 2024",,TravelLite suitcase
1173,"Samuel Nguyen, a spokesperson for Quantum Innovations, confirmed the release of a NovaBook Pro laptop for $89.99 on June 26, 2021.","Samuel Nguyen; Quantum Innovations; June 26, 2021; $89.99; a NovaBook Pro laptop",PERSON; ORG; DATE; MONEY; PRODUCT,Samuel Nguyen,Quantum Innovations,,"June 26, 2021",$89.99,NovaBook Pro laptop
1174,"Lakeside Medical Center announced that Tom Rossi will lead the new office in Marrakesh starting March 5, 2017.","Tom Rossi; Lakeside Medical Center; Marrakesh; March 5, 2017",PERSON; ORG; GPE; DATE,Tom Rossi,Lakeside Medical Center,Marrakesh,"March 5, 2017",,
1175,"BrightFuture Foundation partnered with a university in Melbourne to research the CloudDesk chair technology, Aisha Baker reported.",Aisha Baker; BrightFuture Foundation; Melbourne; the CloudDesk chair,PERSON; ORG; GPE; PRODUCT,Aisha Baker,BrightFuture Foundation,Melbourne,,,CloudDesk chair
1176,"Ethan Costa joined Meridian Financial Group in Helsinki on December 10, 2016 to launch the CloudDesk chair.","Ethan Costa; Meridian Financial Group; Helsinki; December 10, 2016; the CloudDesk chair",PERSON; ORG; GPE; DATE; PRODUCT,Ethan Costa,Meridian Financial Group,Helsinki,"December 10, 2016",,CloudDesk chair
1177,"On December 19, 2016, Golden Gate Retailers opened a new branch in Zurich, Kenya, appointing Mei Costa as director.","Mei Costa; Golden Gate Retailers; Kenya; Zurich; December 19, 2016",PERSON; ORG; GPE; GPE; DATE,Mei Costa,Golden Gate Retailers,"Kenya, Zurich","December 19, 2016",,
1178,"Cedar Grove Hospital announced that Hassan Brown will lead the new office in Nairobi starting February 10, 2020.","Hassan Brown; Cedar Grove Hospital; Nairobi; February 10, 2020",PERSON; ORG; GPE; DATE,Hassan Brown,Cedar Grove Hospital,Nairobi,"February 10, 2020",,
1179,"The board at Falcon Logistics approved a $199 investment in Austin after Wei Kowalski's presentation on May 23, 2024.","Wei Kowalski; Falcon Logistics; Austin; May 23, 2024; $199",PERSON; ORG; GPE; DATE; MONEY,Wei Kowalski,Falcon Logistics,Austin,"May 23, 2024",$199,
1180,"Crescent Media Group partnered with a university in Denver to research the GreenLeaf water bottle technology, Mark Silva reported.",Mark Silva; Crescent Media Group; Denver; the GreenLeaf water bottle,PERSON; ORG; GPE; PRODUCT,Mark Silva,Crescent Media Group,Denver,,,GreenLeaf water bottle
1181,"The board at Zenith Pharmaceuticals approved a $24.50 investment in Edinburgh after Ingrid Baker's presentation on July 7, 2017.","Ingrid Baker; Zenith Pharmaceuticals; Edinburgh; July 7, 2017; $24.50",PERSON; ORG; GPE; DATE; MONEY,Ingrid Baker,Zenith Pharmaceuticals,Edinburgh,"July 7, 2017",$24.50,
1182,"Pioneer Research Institute announced that Samuel Ivanov will lead the new office in Prague starting December 3, 2021.","Samuel Ivanov; Pioneer Research Institute; Prague; December 3, 2021",PERSON; ORG; GPE; DATE,Samuel Ivanov,Pioneer Research Institute,Prague,"December 3, 2021",,
1183,Fatima Silva traveled from Melbourne to Helsinki to negotiate a deal worth $350 with Meridian Financial Group.,Fatima Silva; Meridian Financial Group; Helsinki; Melbourne; $350,PERSON; ORG; GPE; GPE; MONEY,Fatima Silva,Meridian Financial Group,"Helsinki, Melbourne",,$350,
1184,"The board at Global Trade Partners approved a $9.99 investment in Lisbon after Wei Chen's presentation on May 21, 2019.","Wei Chen; Global Trade Partners; Lisbon; May 21, 2019; $9.99",PERSON; ORG; GPE; DATE; MONEY,Wei Chen,Global Trade Partners,Lisbon,"May 21, 2019",$9.99,
1185,"Harborview College partnered with a university in Jakarta to research the CloudDesk chair technology, Grace Lewis reported.",Grace Lewis; Harborview College; Jakarta; the CloudDesk chair,PERSON; ORG; GPE; PRODUCT,Grace Lewis,Harborview College,Jakarta,,,CloudDesk chair
1186,"On May 8, 2025, Falcon Logistics opened a new branch in Marrakesh, India, appointing Mark King as director.","Mark King; Falcon Logistics; India; Marrakesh; May 8, 2025",PERSON; ORG; GPE; GPE; DATE,Mark King,Falcon Logistics,"India, Marrakesh","May 8, 2025",,
1187,"During the conference in Wellington, Leila Garcia from Meridian Financial Group unveiled a NovaBook Pro laptop priced at $350.",Leila Garcia; Meridian Financial Group; Wellington; $350; a NovaBook Pro laptop,PERSON; ORG; GPE; MONEY; PRODUCT,Leila Garcia,Meridian Financial Group,Wellington,,$350,NovaBook Pro laptop
1188,"Ravi Lewis, a spokesperson for Brightline Technologies, confirmed the release of the FreshAir purifier for $499.99 on April 19, 2023.","Ravi Lewis; Brightline Technologies; April 19, 2023; $499.99; the FreshAir purifier",PERSON; ORG; DATE; MONEY; PRODUCT,Ravi Lewis,Brightline Technologies,,"April 19, 2023",$499.99,FreshAir purifier
1189,"Nadia Wright joined Silverline Motors in Copenhagen on November 4, 2019 to launch a SoundWave headset.","Nadia Wright; Silverline Motors; Copenhagen; November 4, 2019; a SoundWave headset",PERSON; ORG; GPE; DATE; PRODUCT,Nadia Wright,Silverline Motors,Copenhagen,"November 4, 2019",,SoundWave headset
1190,"During the conference in Helsinki, Kevin Anderson from BrightFuture Foundation unveiled the TravelLite suitcase priced at $19.99.",Kevin Anderson; BrightFuture Foundation; Helsinki; $19.99; the TravelLite suitcase,PERSON; ORG; GPE; MONEY; PRODUCT,Kevin Anderson,BrightFuture Foundation,Helsinki,,$19.99,TravelLite suitcase
1191,"During the conference in Copenhagen, Priya Wright from Riverside Bank unveiled a ProGrip tennis racket priced at $24.50.",Priya Wright; Riverside Bank; Copenhagen; $24.50; a ProGrip tennis racket,PERSON; ORG; GPE; MONEY; PRODUCT,Priya Wright,Riverside Bank,Copenhagen,,$24.50,ProGrip tennis racket
1192,"Hana King joined Vertex Analytics in Wellington on May 26, 2022 to launch the FlexFit yoga mat.","Hana King; Vertex Analytics; Wellington; May 26, 2022; the FlexFit yoga mat",PERSON; ORG; GPE; DATE; PRODUCT,Hana King,Vertex Analytics,Wellington,"May 26, 2022",,FlexFit yogmat
1193,"Ironwood Steel Works announced that Chen Novak will lead the new office in Cairo starting May 26, 2025.","Chen Novak; Ironwood Steel Works; Cairo; May 26, 2025",PERSON; ORG; GPE; DATE,Chen Novak,Ironwood Steel Works,Cairo,"May 26, 2025",,
1194,"Priya Patel joined Brightline Technologies in Edinburgh on March 7, 2020 to launch the QuickBrew coffee maker.","Priya Patel; Brightline Technologies; Edinburgh; March 7, 2020; the QuickBrew coffee maker",PERSON; ORG; GPE; DATE; PRODUCT,Priya Patel,Brightline Technologies,Edinburgh,"March 7, 2020",,QuickBrew coffee maker
1195,"Tom Osei joined Delta Cloud Services in Denver on September 27, 2018 to launch the AeroFit smartwatch.","Tom Osei; Delta Cloud Services; Denver; September 27, 2018; the AeroFit smartwatch",PERSON; ORG; GPE; DATE; PRODUCT,Tom Osei,Delta Cloud Services,Denver,"September 27, 2018",,AeroFit smartwatch
1196,"During the conference in Vancouver, Mark Clark from Quantum Innovations unveiled the FlexFit yoga mat priced at $49.99.",Mark Clark; Quantum Innovations; Vancouver; $49.99; the FlexFit yoga mat,PERSON; ORG; GPE; MONEY; PRODUCT,Mark Clark,Quantum Innovations,Vancouver,,$49.99,FlexFit yogmat
1197,"Priya Wright, a spokesperson for Ironwood Steel Works, confirmed the release of a SunBeam solar charger for $49.99 on April 6, 2024.","Priya Wright; Ironwood Steel Works; April 6, 2024; $49.99; a SunBeam solar charger",PERSON; ORG; DATE; MONEY; PRODUCT,Priya Wright,Ironwood Steel Works,,"April 6, 2024",$49.99,SunBeam solar charger
1198,"Union Manufacturing Corp. announced that Tom Moore will lead the new office in Cape Town starting April 17, 2021.","Tom Moore; Union Manufacturing Corp.; Cape Town; April 17, 2021",PERSON; ORG; GPE; DATE,Tom Moore,Union Manufacturing Corp.,Cape Town,"April 17, 2021",,
1199,"During the conference in Vancouver, Leila Novak from Coastal Insurance Co. unveiled a NightOwl reading lamp priced at $199.",Leila Novak; Coastal Insurance Co.; Vancouver; $199; a NightOwl reading lamp,PERSON; ORG; GPE; MONEY; PRODUCT,Leila Novak,Coastal Insurance Co.,Vancouver,,$199,NightOwl reading lamp
1200,"Felix Novak, a spokesperson for BrightFuture Foundation, confirmed the release of the QuickBrew coffee maker for $120 on September 19, 2017.","Felix Novak; BrightFuture Foundation; September 19, 2017; $120; the QuickBrew coffee maker",PERSON; ORG; DATE; MONEY; PRODUCT,Felix Novak,BrightFuture Foundation,,"September 19, 2017",$120,QuickBrew coffee maker
1201,"Meridian Financial Group partnered with a university in Bangkok to research a SunBeam solar charger technology, James Clark reported.",James Clark; Meridian Financial Group; Bangkok; a SunBeam solar charger,PERSON; ORG; GPE; PRODUCT,James Clark,Meridian Financial Group,Bangkok,,,SunBeam solar charger
1202,"On December 11, 2025, Cedar Grove Hospital opened a new branch in Amsterdam, India, appointing Charlotte Costa as director.","Charlotte Costa; Cedar Grove Hospital; Amsterdam; India; December 11, 2025",PERSON; ORG; GPE; GPE; DATE,Charlotte Costa,Cedar Grove Hospital,"Amsterdam, India","December 11, 2025",,
1203,"Chloe Silva joined Coastal Insurance Co. in Denver on August 9, 2022 to launch a NovaBook Pro laptop.","Chloe Silva; Coastal Insurance Co.; Denver; August 9, 2022; a NovaBook Pro laptop",PERSON; ORG; GPE; DATE; PRODUCT,Chloe Silva,Coastal Insurance Co.,Denver,"August 9, 2022",,NovaBook Pro laptop
1204,"Cedar Grove Hospital announced that Nadia Larsen will lead the new office in Mumbai starting February 1, 2016.","Nadia Larsen; Cedar Grove Hospital; Mumbai; February 1, 2016",PERSON; ORG; GPE; DATE,Nadia Larsen,Cedar Grove Hospital,Mumbai,"February 1, 2016",,
1205,Hassan Taylor traveled from Bangkok to Nairobi to negotiate a deal worth $9.99 with Zenith Pharmaceuticals.,Hassan Taylor; Zenith Pharmaceuticals; Bangkok; Nairobi; $9.99,PERSON; ORG; GPE; GPE; MONEY,Hassan Taylor,Zenith Pharmaceuticals,"Bangkok, Nairobi",,$9.99,
1206,"Aurora Data Systems announced that Mark Yamamoto will lead the new office in Stockholm starting March 6, 2024.","Mark Yamamoto; Aurora Data Systems; Stockholm; March 6, 2024",PERSON; ORG; GPE; DATE,Mark Yamamoto,Aurora Data Systems,Stockholm,"March 6, 2024",,
1207,"Chloe Rossi joined Zenith Pharmaceuticals in Mumbai on September 7, 2019 to launch the GreenLeaf water bottle.","Chloe Rossi; Zenith Pharmaceuticals; Mumbai; September 7, 2019; the GreenLeaf water bottle",PERSON; ORG; GPE; DATE; PRODUCT,Chloe Rossi,Zenith Pharmaceuticals,Mumbai,"September 7, 2019",,GreenLeaf water bottle
1208,"The board at Ironwood Steel Works approved a $499.99 investment in Dublin after Victor Khan's presentation on May 12, 2017.","Victor Khan; Ironwood Steel Works; Dublin; May 12, 2017; $499.99",PERSON; ORG; GPE; DATE; MONEY,Victor Khan,Ironwood Steel Works,Dublin,"May 12, 2017",$499.99,
1209,"Blue Horizon Airlines announced that Omar Kowalski will lead the new office in Zurich starting September 22, 2015.","Omar Kowalski; Blue Horizon Airlines; Zurich; September 22, 2015",PERSON; ORG; GPE; DATE,Omar Kowalski,Blue Horizon Airlines,Zurich,"September 22, 2015",,
1210,"Zainab Suzuki joined Brightline Technologies in Berlin on November 20, 2018 to launch a SunBeam solar charger.","Zainab Suzuki; Brightline Technologies; Berlin; November 20, 2018; a SunBeam solar charger",PERSON; ORG; GPE; DATE; PRODUCT,Zainab Suzuki,Brightline Technologies,Berlin,"November 20, 2018",,SunBeam solar charger
1211,"On July 28, 2020, Pioneer Research Institute opened a new branch in Nairobi, the Czech Republic, appointing Aisha Haddad as director.","Aisha Haddad; Pioneer Research Institute; Nairobi; the Czech Republic; July 28, 2020",PERSON; ORG; GPE; GPE; DATE,Aisha Haddad,Pioneer Research Institute,"Nairobi, the Czech Republic","July 28, 2020",,
1212,"Ahmed Dubois, a spokesperson for Oakwood Publishing House, confirmed the release of the FlexFit yoga mat for $49.99 on October 2, 2018.","Ahmed Dubois; Oakwood Publishing House; October 2, 2018; $49.99; the FlexFit yoga mat",PERSON; ORG; DATE; MONEY; PRODUCT,Ahmed Dubois,Oakwood Publishing House,,"October 2, 2018",$49.99,FlexFit yogmat
1213,"Cedar Grove Hospital partnered with a university in Santiago to research a SunBeam solar charger technology, Aisha Kowalski reported.",Aisha Kowalski; Cedar Grove Hospital; Santiago; a SunBeam solar charger,PERSON; ORG; GPE; PRODUCT,Aisha Kowalski,Cedar Grove Hospital,Santiago,,,SunBeam solar charger
1214,"On October 5, 2018, Falcon Logistics opened a new branch in Mumbai, South Korea, appointing Noah Suzuki as director.","Noah Suzuki; Falcon Logistics; Mumbai; South Korea; October 5, 2018",PERSON; ORG; GPE; GPE; DATE,Noah Suzuki,Falcon Logistics,"Mumbai, South Korea","October 5, 2018",,
1215,"On May 12, 2018, Union Manufacturing Corp. opened a new branch in Stockholm, New Zealand, appointing Daniel Okafor as director.","Daniel Okafor; Union Manufacturing Corp.; New Zealand; Stockholm; May 12, 2018",PERSON; ORG; GPE; GPE; DATE,Daniel Okafor,Union Manufacturing Corp.,"New Zealand, Stockholm","May 12, 2018",,
1216,"Ingrid Garcia joined Silverline Motors in Manila on December 4, 2025 to launch the FreshAir purifier.","Ingrid Garcia; Silverline Motors; Manila; December 4, 2025; the FreshAir purifier",PERSON; ORG; GPE; DATE; PRODUCT,Ingrid Garcia,Silverline Motors,Manila,"December 4, 2025",,FreshAir purifier
1217,"The board at Riverside Bank approved a $250 investment in Melbourne after Carlos Johansson's presentation on November 28, 2021.","Carlos Johansson; Riverside Bank; Melbourne; November 28, 2021; $250",PERSON; ORG; GPE; DATE; MONEY,Carlos Johansson,Riverside Bank,Melbourne,"November 28, 2021",$250,
1218,"Crescent Media Group partnered with a university in Toronto to research a ProGrip tennis racket technology, Yuki Wright reported.",Yuki Wright; Crescent Media Group; Toronto; a ProGrip tennis racket,PERSON; ORG; GPE; PRODUCT,Yuki Wright,Crescent Media Group,Toronto,,,ProGrip tennis racket
1219,"The board at Global Trade Partners approved a $19.99 investment in Berlin after Chloe Brown's presentation on September 3, 2021.","Chloe Brown; Global Trade Partners; Berlin; September 3, 2021; $19.99",PERSON; ORG; GPE; DATE; MONEY,Chloe Brown,Global Trade Partners,Berlin,"September 3, 2021",$19.99,
1220,"On July 23, 2022, NextGen Software Labs opened a new branch in Wellington, Denmark, appointing Liam Okafor as director.","Liam Okafor; NextGen Software Labs; Denmark; Wellington; July 23, 2022",PERSON; ORG; GPE; GPE; DATE,Liam Okafor,NextGen Software Labs,"Denmark, Wellington","July 23, 2022",,
